GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
813,131100,13560493,13560491, 'Exact sequence & title match',Newbies, 'Newbies',|['Newbies',3321692,3321692,,,,,,,Pass,Pass
813,131096,17891213,13560491, 'Exact sequence & title match',Bee Bomb, 'Bee Bomb',|['Bee Bomb',3322154,3322154,,,,,,,Pass,Pass
813,131092,17950260,13560491, 'Exact sequence & title match',Gator Breakout, 'Gator Breakout',|['Gator Breakout',3322317,3322317,,,,,,,Pass,Pass
813,131088,17953393,13560491, 'Exact sequence & title match',Croc Swap, 'Croc Swap',|['Croc Swap',3322477,3322477,,,,,,,Pass,Pass
813,131081,18027113,13560491, 'Exact sequence & title match',Predators on the Prowl, 'Predators on the Prowl',|['Predators on the Prowl',3322683,3322683,,,,,,,Pass,Pass
813,131048,21895862,13560491, 'title match only',Predator Patrol, 'Predator Patrol',|['Predator Patrol',3323930,3323930,,,,,,,Pass,Pass
813,131064,21702399,13560491, 'Exact sequence & title match',Most Wanted, 'Most Wanted',|['Most Wanted',3323178,3323178,,,,,,,Pass,Pass
813,131104,13888726,13560491, 'Exact sequence & title match',Panther Down, 'Panther Down',|['Panther Down',3321971,3321971,,,,,,,Pass,Pass
813,131045,21944404,13560491, 'title match only',Alligator Attack, 'Alligator Attack',|['Alligator Attack',3324086,3324086,,,,,,,Pass,Pass
813,131039,21989970,13560491, 'title match only',Big Nasty, 'Big Nasty',|['Big Nasty',3324197,3324197,,,,,,,Pass,Pass
813,197252,22265325,13560491, 'title match only',Gator Pit Roun
