GuideBox_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping series
13122,300192247,3439380,3439380,,,,,,Pass,Pass
1928,204572,4038907,4038907,,,,,,Pass,Pass
9437,1939290,3067105,3067105,,,,,,Pass,Pass
15701,614694569,8306188,8306188,,,,,,Pass,Pass
35550,3337581223,10284163,10284163,,,,,,Pass,Pass
37461,3498736112,10362103,10362103,,,,,,Pass,Pass
1151,2344368,5414902,5414902,,,,,,Pass,Pass
18923,1002039137,3884500,3884500,,,,,,Pass,Pass
35512,1887712519,9965446,9965446,,,,,,Pass,Pass
24546,1318609880,9985107,9985107,,,,,,Pass,Pass
18419,1167717069,8999078,8999078,,,,,,Pass,Pass
19735,1144567557,3552669,3552669,,,,,,Pass,Pass
14487,379820750,3504000,3504000,,,,,,Pass,Pass
524,12954572,10014671,10014671,,,,,,Pass,Pass
17452,856576126,8627080,8627080,,,,,,Pass,Pass
14688,421722,4169941,4169941,,,,,,Pass,Pass
19396,1111108516,10042813,10042813,,,,,,Pass,Pass
43452,4441245960,10886091,10886091,,,,,,Pass,Pass
11817,432193958,8112174,8112174,,,,,,Pass,Pass
12473,20008106,7434990,7434990,,,,,,Pass,Pass
22784,1192630273,3852892,3852892,,,,,,Pass,Pass
1261,455685,2756977,2756977,,,,,,Pass,Pass
16105,66643178,3646832,3646832,,,,,,Pass,Pass
174,10385920,5518697,5518697,,,,,,Pass,Pass
19220,1062394741,3688687,3688687,,,,,,Pass,Pass
28870,2095923,5316549,5316549,,,,,,Pass,Pass
1233,1890188,3319947,3319947,,,,,,Pass,Pass
2070,73180,4020423,4020423,,,,,,Pass,Pass
37914,3925024436,3784136,3784136,,,,,,Pass,Pass
38921,4044087895,10540172,10540172,,,,,,Pass,Pass
16192,2131642,3064929,3064929,,,,,,Pass,Pass
10738,19684768,10177972,10177972,,,,,,Pass,Pass
24891,1352079227,3584938,3584938,,,,,,Pass,Pass
21961,1123401055,8958296,8958296,,,,,,Pass,Pass
13323,1563166,2756705,2756705,,,,,,Pass,Pass
10117,393144,3340323,3340323,,,,,,Pass,Pass
11106,12547,4013712,4013712,,,,,,Pass,Pass
2430,456878,2893882,2893882,,,,,,Pass,Pass
22428,1387994925,9293494,9293494,,,,,,Pass,Pass
11664,1909348,5228639,5228639,,,,,,Pass,Pass
13268,66864046,7782981,7782981,,,,,,Pass,Pass
37554,3569639124,10389108,10389108,,,,,,Pass,Pass
15948,344335,4142897,4142897,,,,,,Pass,Pass
39686,1516543574,9405218,9405218,,,,,,Pass,Pass
430,2409019,2842091,2842091,,,,,,Pass,Pass
13028,67036898,3266065,3266065,,,,,,Pass,Pass
4823,19284552,7362239,7362239,,,,,,Pass,Pass
25113,1351952796,9259235,9259235,,,,,,Pass,Pass
11631,556693653,8239198,8239198,,,,,,Pass,Pass
20973,19955618,3855545,3855545,,,,,,Pass,Pass
14726,306329591,7903736,7903736,,,,,,Pass,Pass
1699,11852184,5690836,5690836,,,,,,Pass,Pass
19233,1093659130,3552294,3552294,,,,,,Pass,Pass
12916,66134364,3286548,3286548,,,,,,Pass,Pass
9289,2494356,3366767,3366767,,,,,,Pass,Pass
15466,470903144,3380747,3380747,,,,,,Pass,Pass
11468,2001961,5268713,5268713,,,,,,Pass,Pass
21693,1096866405,3588275,3588275,,,,,,Pass,Pass
35150,3178237771,10114764,10114764,,,,,,Pass,Pass
15187,66335085,3246659,3246659,,,,,,Pass,Pass
33831,1351176832,3722762,3722762,,,,,,Pass,Pass
14147,18126318,7137155,7137155,,,,,,Pass,Pass
10121,17691485,3415482,3415482,,,,,,Pass,Pass
13937,335324991,3369622,3369622,,,,,,Pass,Pass
4631,9352759,3703823,3703823,,,,,,Pass,Pass
11873,8742556,5492852,5492852,,,,,,Pass,Pass
1834,593772,8599459,8599459,,,,,,Pass,Pass
5091,2223113,5370928,5370928,,,,,,Pass,Pass
42775,4528911185,10940666,10940666,,,,,,Pass,Pass
1272,13916958,6813629,6813629,,,,,,Pass,Pass
123,2364215,2821113,2821113,,,,,,Pass,Pass
10160,14380236,3404469,3404469,,,,,,Pass,Pass
16711,935908501,8735242,8735242,,,,,,Pass,Pass
2781,20023622,3235988,3235988,,,,,,Pass,Pass
44330,5078184290,11187385,11187385,,,,,,Pass,Pass
19476,2210388,5364954,5364954,,,,,,Pass,Pass
2016,567851,4432858,4432858,,,,,,Pass,Pass
17752,936226059,3460396,3460396,,,,,,Pass,Pass
9380,220918,4051921,4051921,,,,,,Pass,Pass
17154,795625267,3531119,3531119,,,,,,Pass,Pass
14762,22184309,3624110,3624110,,,,,,Pass,Pass
34404,1632922383,9453563,9453563,,,,,,Pass,Pass
2866,14747155,3036800,3036800,,,,,,Pass,Pass
15758,438414681,3361093,3361093,,,,,,Pass,Pass
13714,298765312,3292124,3292124,,,,,,Pass,Pass
15619,525743966,3760960,3760960,,,,,,Pass,Pass
30352,3522349862,10392438,9381323,"[{'9381323': 'rovi_id:1487066994,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":0,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.0}'}, {'source_id': '30352,Map_reason:{""color"":0,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":1.0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":1.0,""season_count"":0,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":0,""run_time_missing"":1,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:9381323"",""id_2"":""guidebox:SM-30352"",""score"":5.1}'}]","[{'10392438': 'rovi_id:3522349862,Map_reason:not found in projectx'}]",True,,False,Fail,Fail
10191,2096599,3333770,3333770,,,,,,Pass,Pass
16698,686433292,8407231,8407231,,,,,,Pass,Pass
853,1355579,2863708,2863708,,,,,,Pass,Pass
488,16956869,3100154,3100154,,,,,,Pass,Pass
20547,364375929,7108572,7108572,,,,,,Pass,Pass
850,2381711,3333183,3333183,,,,,,Pass,Pass
177,18814725,3171176,13361411,"[{'source_id': '177,Map_reason:new'}]","[{'3171176': 'rovi_id:18814725,Map_reason:not found in projectx'}]",,,False,Fail,Fail
19483,1216527420,9061087,9061087,,,,,,Pass,Pass
19332,310895172,7927281,7927281,,,,,,Pass,Pass
