source,id,SM_id,link_details,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,GuideBox_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped GuideBox_id for duplicate,variant_parent_id_present,variant_parent_id,link_fetched_from,Sources of link
GuideBox,5825214,28192,[{'amazon': 'B01IWQIY5G'}],,Powers,Legacy,,FALSE,[9299606],,,,"('No multiple ids for this link', [{'amazon': 'B01IWQIY5G'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3484946,28193,[{'vudu': '649597'}],,If God is Willing and Da Creek Don't Rise,Part 2,,FALSE,"[13265782, 6876103]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,7509036,28194,[{'itunes': '1278517269'}],,Barnwood Builders,Foldable Cabin,,FALSE,[],,,,"('No multiple ids for this link', [{'itunes': '1278517269'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3757393,28196,[{'itunes': '990502131'}],,Food Fortunes,Appetite for Affluence,,FALSE,[9317238],,,,"('No multiple ids for this link', [{'itunes': '990502131'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3657621,28198,[{'itunes': '986042956'}],,The Big Picture with Kal Penn,Off The Map,,FALSE,[],,,,"('No multiple ids for this link', [{'itunes': '986042956'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3482702,28210,[{'itunes': '1072235418'}],,The Indian Doctor,Into the Light,,FALSE,[3364586],,,,"('No multiple ids for this link', [{'itunes': '1072235418'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,5783925,28212,[{'itunes': '1134227021'}],,Major League Baseball All-Star Week,2016 All-Star Game,,FALSE,[13263952],,,,"('No multiple ids for this link', [{'itunes': '1134227021'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3494689,28214,[{'vudu': '638645'}],,Miffy's Winter Fun,Miffy Makes and Bakes / Miffy and the Hungry Bird,,FALSE,[14782730],,,,"('No multiple ids for this link', [{'vudu': '638645'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,5513128,28225,[{'amazon': 'B01F2ERDNU'}],,Videofashion Specials,Together Forever,,FALSE,[10368389],,,,"('No multiple ids for this link', [{'amazon': 'B01F2ERDNU'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7746833,28226,[{'hulu': '07f965f6-794b-402b-b86b-8a26389fb3ea'}],,Videofashion News,Aquatic Aesthetics,,FALSE,[13264274],,,,"('No multiple ids for this link', [{'hulu': '07f965f6-794b-402b-b86b-8a26389fb3ea'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3492907,28242,[{'amazon': 'B01BHCFYS2'}],,Dead Famous,Janis Joplin,,FALSE,"[3499663, 3503678]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,TRUE,[{'variant_parent_id': '3499663'}],,
GuideBox,7235182,28263,[{'amazon': 'B01N6V5EB5'}],,Travel Oz,"Barrier Reef, Trial Bay, Aboriginal Art Festival",,FALSE,[13262633],,,,"('No multiple ids for this link', [{'amazon': 'B01N6V5EB5'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3886528,28265,[{'itunes': '985776165'}],,Aloha Vet,My Chicken Ate What?,,FALSE,[9086329],,,,"('No multiple ids for this link', [{'itunes': '985776165'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,5445197,28266,[{'itunes': '1153163538'}],,I Love You But I Lied,Hard Body / Full Service,,FALSE,[9366736],,,,"('No multiple ids for this link', [{'itunes': '1153163538'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3844736,28285,[{'itunes': '992560201'}],,Meet the Smiths,The Honeymoon Ain't Over,,FALSE,[9092293],,,,"('No multiple ids for this link', [{'itunes': '992560201'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3518720,28290,[{'itunes': '1153452171'}],,Jinsei - Life Consulting,Hidden Plot,,FALSE,[13262305],,,,"('No multiple ids for this link', [{'itunes': '1153452171'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3518790,28292,[{'itunes': '937388316'}],,Dexpedition,Stockholm - Wash That Champagne,,FALSE,[],,,,"('No multiple ids for this link', [{'itunes': '937388316'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3518592,28293,[{'amazon': 'B00UPCAOE0'}],,One Night in the Cosmos,One Night in the Cosmos: The Outer-Space (Creation of the Universe),,FALSE,[13262241],,,,"('No multiple ids for this link', [{'amazon': 'B00UPCAOE0'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,6713334,28303,[{'itunes': '1288939490'}],,Mighty Cruise Ships,MSC Divina,,FALSE,[],,,,"('No multiple ids for this link', [{'itunes': '1288939490'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3525252,28307,[{'itunes': '689092738'}],,Baby Sellers,Baby Sellers,,FALSE,[13262128],,,,"('No multiple ids for this link', [{'itunes': '689092738'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3559600,28310,[{'amazon': 'B00V8BU16I'}],,Diabolical Women,Dana Sue Gray,,FALSE,"[9358079, 9357773]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,5499645,28311,[{'itunes': '1108065996'}],,Little Women: Terra's Little Family,Signs of Trouble,,FALSE,[9363635],,,,"('No multiple ids for this link', [{'itunes': '1108065996'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3785858,28312,[{'itunes': '988393574'}],,FBI Takedowns,The Boston Bandits,,FALSE,[],,,,"('No multiple ids for this link', [{'itunes': '988393574'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3566616,28315,[{'itunes': '971487916'}],,180 Days: Hartsville,Part Two,,FALSE,"[13261982, 9335611, 9335670]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,3796990,28316,[{'itunes': '989070935'}],,Bride By Design,Absolute Perfection,,FALSE,[3565947],,,,"('No multiple ids for this link', [{'itunes': '989070935'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3561163,28320,[{'itunes': '977907924'}],,Arnie & Me,Arnie & Me,,FALSE,[13270591],,,,"('No multiple ids for this link', [{'itunes': '977907924'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3837222,28343,[{'itunes': '991237481'}],,Jump! (2015),Floyd Little vs. The World,,FALSE,[10047475],,,,"('No multiple ids for this link', [{'itunes': '991237481'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3685720,28349,[{'itunes': '1321764150'}],,Find My First Love,High School Ex(change),,FALSE,[9347777],,,,"('No multiple ids for this link', [{'itunes': '1321764150'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3789871,28352,[{'itunes': '988706559'}],,100 Miles from Nowhere,Mountain Whiteout,,FALSE,[],,,,"('No multiple ids for this link', [{'itunes': '988706559'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3816652,28353,[{'itunes': '990197616'}],,America's Most Badass,Rebels With a Cause,,FALSE,[3703702],,,,"('No multiple ids for this link', [{'itunes': '990197616'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7461332,28358,[{'amazon': 'B074XLGGB9'}],,Counting With Paula,It's About Time!,,FALSE,[13268174],,,,"('No multiple ids for this link', [{'amazon': 'B074XLGGB9'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7293208,28359,[{'amazon': 'B07JD2XV7J'}],,Color Crew All About Colors,My World in Colors,,FALSE,[13268552],,,,"('No multiple ids for this link', [{'amazon': 'B07JD2XV7J'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3696090,28395,[{'amazon': 'B00VN4I9FK'}],,8 Minutes,Trafficker in the Lobby,,FALSE,[],,,,"('No multiple ids for this link', [{'amazon': 'B00VN4I9FK'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3607994,28438,[{'amazon': 'B076VXS1X9'}],,Sex Around the World,Japan,,FALSE,[12950128],,,,"('No multiple ids for this link', [{'amazon': 'B076VXS1X9'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,4440869,28453,[{'amazon': 'B012MZ29Y0'}],,Queens Of Drama,How Did We Get Here? ,,FALSE,[9103816],,,,"('No multiple ids for this link', [{'amazon': 'B012MZ29Y0'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3896079,28467,[{'hulu': 'd4b29136-a920-4306-a9ad-e3803cf5a752'}],,Pitch & Potch,"Nature / Truck, Guitar & Pig",,FALSE,[12950010],,,,"('No multiple ids for this link', [{'hulu': 'd4b29136-a920-4306-a9ad-e3803cf5a752'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3619832,28468,[{'amazon': 'B06WGVL88N'}],,Deadly Journeys of the Apostles,Messengers to the West,,FALSE,[3717797],,,,"('No multiple ids for this link', [{'amazon': 'B06WGVL88N'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3887103,28469,[{'itunes': '985378833'}],,The Raft,Night Terror,,FALSE,[],,,,"('No multiple ids for this link', [{'itunes': '985378833'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3669215,28471,[{'itunes': '982748291'}],,If There Be Thorns,If There Be Thorns,,FALSE,[13262112],,,,"('No multiple ids for this link', [{'itunes': '982748291'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3620015,28472,[{'itunes': '916368177'}],,Red Star Line,Episode 3: America,,FALSE,[13262004],,,,"('No multiple ids for this link', [{'itunes': '916368177'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7630477,28490,[{'itunes': '1227155126'}],,Living Single,Let's Stay Together,,FALSE,[4139838],,,,"('No multiple ids for this link', [{'itunes': '1227155126'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7624080,28498,[{'amazon': 'B075H4K3QF'}],,Queen Bee,The Queen Is Crowned,,FALSE,[13262285],,,,"('No multiple ids for this link', [{'amazon': 'B075H4K3QF'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3627069,28500,[{'amazon': 'B07773TMTX'}],,Wayward Nation,Episode 11: The New American Dream is Alive,,FALSE,[13261949],,,,"('No multiple ids for this link', [{'amazon': 'B07773TMTX'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3629163,28536,[{'amazon': 'B00VAHG466'}],,Baby Class First Words And Numbers,Baby Class First Words And Numbers - Baby Workshop,,FALSE,[12950053],,,,"('No multiple ids for this link', [{'amazon': 'B00VAHG466'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3971464,28537,[{'itunes': '998021538'}],,Engineering Disasters,Exploding Manhole Covers,,FALSE,[3601495],,,,"('No multiple ids for this link', [{'itunes': '998021538'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3734822,28538,[{'itunes': '985875931'}],,Blood and Glory: The Civil War in Color,Bloodbath,,FALSE,[],,,,"('No multiple ids for this link', [{'itunes': '985875931'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3645034,28637,[{'amazon': 'B00VHCRBIO'}],,The Dovekeepers,The Dovekeepers (Part 2),,FALSE,[8971038],,,,"('No multiple ids for this link', [{'amazon': 'B00VHCRBIO'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3637883,28644,[{'amazon': 'B00VHWGUI6'}],,Backstage with Disney on Broadway: Celebrating 20 Years,Backstage with Disney on Broadway: Celebrating 20 Years,,FALSE,[13262145],,,,"('No multiple ids for this link', [{'amazon': 'B00VHWGUI6'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3653855,28645,[{'itunes': '982289415'}],,Twice Born: Stories from the Special Delivery Unit,Episode 3,,FALSE,[10104837],,,,"('No multiple ids for this link', [{'itunes': '982289415'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3968628,28653,[{'itunes': '998791169'}],,Man Finds Food,NYC Steak-Easy,,FALSE,[3742096],,,,"('No multiple ids for this link', [{'itunes': '998791169'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3809126,28654,[{'itunes': '989580432'}],,Rivermen,Sink or Swim,,FALSE,[9258905],,,,"('No multiple ids for this link', [{'itunes': '989580432'}])",No multiple ids for this link,,,,,,,,,,,,,
