GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping
110027,1057655,Gamera vs. Monster X,1970,576256,1086393,"[{'source_projectx_id_mapped': 'rovi_id:6811150492,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":2,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}, {'source_id': '110027'}]","[{'rovi_projectx_id_mapped': 'rovi_id:1057655,Map_reason:not found in projectx'}]",True,,False,Fail,Fail
110029,1078397,Killing Machine,1984,587590,587590,,,,,,Pass,Pass
110035,341895,The Impossible Kid,1982,559517,559517,,,,,,Pass,Pass
110038,1069172,The Singing Cowgirl,1938,956917,956917,,,,,,Pass,Pass
110039,466455,The Ghost Walks,1934,571782,571782,,,,,,Pass,Pass
110051,1066940,Lumberjack,1944,581301,581301,,,,,,Pass,Pass
110054,1072854,Zorro,1975,609622,609622,,,,,,Pass,Pass
110075,705352311,Little Feet,2013,932607,932607,,,,,,Pass,Pass
110076,943218856,Thou Wast Mild and Lovely,2014,851271,851271,,,,,,Pass,Pass
110077,1104013854,A Master Builder,2013,862081,862081,,,,,,Pass,Pass
110090,6809229130,The Great Victory,2014,12306032,12306032,,,,,,Pass,Pass
110091,1218718211,My Mistress,2014,869317,869317,,,,,,Pass,Pass
110094,1111333062,My America,2014,862507,862507,,,,,,Pass,Pass
110102,462684,The Brave One,1956,571082,571082,,,,,,Pass,Pass
110103,1055670,Bond of Fear,1956,575207,575207,,,,,,Pass,Pass
110155,780468191,Neighbours,1952,796655,796655,,,,,,Pass,Pass
110171,1095781,Home To Danger,1951,595746,595746,,,,,,Pass,Pass
110240,1053021423,Killing American Style,1991,266222,266222,,,,,,Pass,Pass
110246,443216,Mister Johnson,1990,50629,50629,,,,,,Pass,Pass
110252,59802,Maria's Story,1990,516329,516329,,,,,,Pass,Pass
110290,934849840,Butter on the Latch,2013,850785,850785,,,,,,Pass,Pass
110304,67204364,Exit Elena,2012,792733,792733,,,,,,Pass,Pass
110314,19069893,The Finger,2011,96949,96949,,,,,,Pass,Pass
110373,12460298,Edgar,2009,680222,680222,,,,,,Pass,Pass
110374,1069666,The Sun Sets at Dawn,1950,582823,582823,,,,,,Pass,Pass
110375,451078,Buccaneer's Girl,1950,91979,91979,,,,,,Pass,Pass
110381,455494,Julius Caesar,1950,70176,1503326,"[{'source_projectx_id_mapped': 'rovi_id:11934611,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":62,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '110381'}]","[{'rovi_projectx_id_mapped': 'rovi_id:455494,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":403,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
110394,453251,Letter from an Unknown Woman,1948,55484,55484,,,,,,Pass,Pass
110395,1062437,Money Madness,1948,578775,578775,,,,,,Pass,Pass
110401,1070179,Things Happen at Night,1947,583142,583142,,,,,,Pass,Pass
110463,436339,Six Weeks,1982,55675,55675,,,,,,Pass,Pass
110485,1067644,She Came To The Valley,1979,581650,581650,,,,,,Pass,Pass
110543,1067332,Shoot First Die Later,1974,581493,581493,,,,,,Pass,Pass
110556,434888,Beyond Atlantis,1973,567797,567797,,,,,,Pass,Pass
110614,294099,This Is John,2003,555580,555580,,,,,,Pass,Pass
110624,926288084,Alter Ego,2002,377470,377470,,,,,,Pass,Pass
110632,11858850,Day Dreams,1922,1488394,1488394,,,,,,Pass,Pass
110633,83386,The Sawmill,1922,522440,522440,,,,,,Pass,Pass
110645,1090119,The Four Horsemen of the Apocalypse,1921,593135,593135,,,,,,Pass,Pass
110667,218585,Just Rambling Along,1918,1109168,1109168,,,,,,Pass,Pass
110670,88525,A Society Sensation,1918,523728,523728,,,,,,Pass,Pass
110729,14757,The Castle of the Living Dead,1964,51593,51593,,,,,,Pass,Pass
110733,4100,Apache Rifles,1964,141385,141385,,,,,,Pass,Pass
110734,1078994,The System,1964,587937,587937,,,,,,Pass,Pass
110740,1672865,The Whip and the Body,1963,12260040,12260040,,,,,,Pass,Pass
110744,17633461,Panic,1963,743065,743065,,,,,,Pass,Pass
110763,449762,Premature Burial,1962,569085,569085,,,,,,Pass,Pass
110772,1053473,Airborne,1962,573927,573927,,,,,,Pass,Pass
110808,435704841,The Power of the Resurrection,1958,811933,811933,,,,,,Pass,Pass
110813,247423,A Chairy Tale,1957,549822,549822,,,,,,Pass,Pass
110825,163546,Kimono,2000,540295,540295,,,,,,Pass,Pass
110843,500031282,Caliber 9,1972,815390,815390,,,,,,Pass,Pass
110856,1059182,Blood Thirst,1971,577079,577079,,,,,,Pass,Pass
110860,22570,Death By Invitation,1971,506765,506765,,,,,,Pass,Pass
110877,1083133,Twice a Judas,1969,589891,589891,,,,,,Pass,Pass
110888,425243,Journey to SHiloh,1968,77013,77013,,,,,,Pass,Pass
110900,1068994,Mission Stardust,1967,[582415],Nil,,,,,,source_id not ingested,Fail
111001,1068363,Jungle Bride,1933,582096,582096,,,,,,Pass,Pass
111002,30020,Fanny,1932,508662,508662,,,,,,Pass,Pass
