GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping,hulu_id_present,vudu_id_present
59381,472225,True Lies,1994,70550,70550,,,,,,Pass,Pass,,
57450,433612,The Hustler,1961,69693,69693,,,,,,Pass,Pass,,
46378,438499,The Burbs,1989,62153,62153,,,,,,Pass,Pass,,
35845,1089586,The Adventures of Priscilla Queen of the Desert,1994,52810,52810,,,,,,Pass,Pass,,
36707,1279993,Men of Honor,2000,72398,72398,,,,,,Pass,Pass,,
1011,1464859,Windtalkers,2002,86743,86743,,,,,,Pass,Pass,,
26872,1082124,Hot Shots! Part Deux,1993,52262,52262,,,,,,Pass,Pass,,
486,16881219,The Golden Child,1986,12265470,12265470,,,,,,Pass,Pass,,
80378,446390,The Ice Storm,1997,75647,75647,,,,,,Pass,Pass,,
13682,1093757,Scorpio,1973,949348,949348,,,,,,Pass,Pass,,
58626,319624,The Tiger's Tail,2006,102674,102674,,,,,,Pass,Pass,,
112663,1100842663,We'll Never Have Paris,2014,163348,163348,,,,,,Pass,Pass,,
32588,6764423,The Open Road,2009,103923,103923,,,,,,Pass,Pass,,
682,1278469,Woman on Top,2000,57489,57489,,,,,,Pass,Pass,,
89260,470358,Jumpin' At The Boneyard,1992,59689,59689,,,,,,Pass,Pass,,
81109,471217,Buffalo '66,1998,81621,81621,,,,,,Pass,Pass,,
24696,1544164,Gangs of New York,2002,67963,67963,,,,,,Pass,Pass,,
31636,1695687,Ju-on: The Grudge,2002,68801,68801,,,,,,Pass,Pass,,
998,17679056,Frankie and Johnny,1991,52207,52207,,,,,,Pass,Pass,,
52401,1021262687,Kill Your Darlings,2013,125378,125378,,,,,,Pass,Pass,,
148257,4111680899,Burn Country,2016,1001054,1001054,,,,,,Pass,Pass,,
147251,3740205207,No Pay Nudity,2016,998853,998853,,,,,,Pass,Pass,,
50720,982759791,Side Effects,2013,106425,106425,,,,,,Pass,Pass,,
975,1380794,Wet Hot American Summer,2001,615120,615120,,,,,,Pass,Pass,,
1854,428620,Trainspotting,1996,81717,81717,,,,,,Pass,Pass,,
50242,1662510,Kill Bill: Vol. 2,2004,66755,1085383,"[{'1085383': 'rovi_id:6785559882,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":21,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '50242'}]","[{'66755': 'rovi_id:1662510,Map_reason:not found in projectx'}, {'vudu_id': '41623'}]",TRUE,,FALSE,Fail,Fail,FALSE,TRUE
62222,1592010,Kill Bill: Vol. 1,2003,72344,72344,,,,,,Pass,Pass,,
74964,2166354,Dead Silence,2007,70660,70660,,,,,,Pass,Pass,,
140323,1912257067,Blood Father,2016,148570,148570,,,,,,Pass,Pass,,
51475,447023,The Firm,1993,65849,65849,,,,,,Pass,Pass,,
28593,2133575,Happily N'Ever After,2006,75595,75595,,,,,,Pass,Pass,,
5391,18157835,Cat Run,2011,122132,122132,,,,,,Pass,Pass,,
510,448418,Jesus Christ Superstar,1973,70374,70374,,,,,,Pass,Pass,,
7143,1069225,Stick,1985,61335,61335,,,,,,Pass,Pass,,
72803,448818,Little Odessa,1994,51162,51162,,,,,,Pass,Pass,,
82238,1534271,Waking Up in Reno,2002,63295,63295,,,,,,Pass,Pass,,
133968,1198761286,Labyrinth of Lies,2014,868277,868277,,,,,,Pass,Pass,,
27738,1181520,American Beauty,1999,72640,72640,,,,,,Pass,Pass,,
140286,3912718109,Daylight's End,2016,975337,975337,,,,,,Pass,Pass,,
56272,1005730653,The People vs. Larry Flynt,1996,50546,50546,,,,,,Pass,Pass,,
73216,423388,Jaws,1975,53329,53329,,,,,,Pass,Pass,,
32587,1068230,Jaws 2,1978,63914,63914,,,,,,Pass,Pass,,
52902,1068232,Jaws 3,1983,78839,78839,,,,,,Pass,Pass,,
63582,423387,Jaws: The Revenge,1987,50016,50016,,,,,,Pass,Pass,,
58493,427769,Meet Wally Sparks,1997,54120,54120,,,,,,Pass,Pass,,
1626,990708570,Lost in Translation,2003,74456,74456,,,,,,Pass,Pass,,
40636,436490,The Great Adventure,1975,568311,568311,,,,,,Pass,Pass,,
7,1187058,Being John Malkovich,1999,60941,60941,,,,,,Pass,Pass,,
11,435053,The Last Temptation of Christ,1988,60657,60657,,,,,,Pass,Pass,,
12,1065362,Our Town,1940,159005,159005,,,,,,Pass,Pass,,
13,1162605,Stigmata,1999,60366,60366,,,,,,Pass,Pass,,
14,1162949,My Life So Far,1999,63852,63852,,,,,,Pass,Pass,,
15,442811,Blue Collar,1978,81238,81238,,,,,,Pass,Pass,,
30910,2428783,Up in the Air,2009,84614,84614,,,,,,Pass,Pass,,
16,1082454,The Fox and the Hound,1981,68093,68093,,,,,,Pass,Pass,,
17,1146476,Universal Soldier: The Return,1999,55404,55404,,,,,,Pass,Pass,,
18,1075446,Ghost Dad,1990,59997,59997,,,,,,Pass,Pass,,
19,1170121,Outside Providence,1999,63385,63385,,,,,,Pass,Pass,,
