rovi_id,hulu_id,px_id1,px_id1_show_type,px_id1_variant_parent_id,px_id1_is_group_language_primary,px_id1_record_language,px_id2,px_id2_show_type,px_id2_variant_parent_id,px_id2_is_group_language_primary,px_id2_record_language,px_id1_credits_null,px_id1_db_credit_present,px_id2_credits_null,px_id2_db_credit_present,long_title_match,original_title_match,runtime_match,release_year_match,alias_title_match,credit_match
534005569,9067,1450161,SM,,TRUE,EN,14058221,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
542476032,11876,1557007,SM,,TRUE,EN,14042780,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
551537013,9133,1715151,SM,,TRUE,EN,14058220,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
12169510,15462,988761,SM,,TRUE,EN,14057911,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
1327228,20840,49938,SM,,TRUE,EN,14057739,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
432193958,9974,1338316,SM,,TRUE,EN,14057736,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
66700815,9979,1486450,SM,,TRUE,EN,14043755,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,
17982749,6466,1216554,SM,,TRUE,EN,14044071,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
2091882,3663,84855,SM,,TRUE,EN,14044216,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
936077774,15682,1818283,SM,,TRUE,EN,14057055,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
19650936,4621,1330454,SM,,TRUE,EN,14057031,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
543837675,9873,1530813,SM,,TRUE,EN,14044916,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
17835686,9172,120664,SM,,TRUE,EN,128134,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE
406170,3640,90040,SM,,TRUE,EN,14045136,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
318547525,3281,1330449,SM,,TRUE,EN,14045202,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
661539770,14703,1748979,SM,,TRUE,EN,14045197,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
19766558,6287,1320259,SM,,TRUE,EN,14045255,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
556694071,9814,1478148,SM,,TRUE,EN,14056850,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
2231762,1303,658788,SM,,TRUE,EN,14056437,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
17016589,4069,1175170,SM,,TRUE,EN,14056433,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
19955807,2324,61877,SM,,TRUE,EN,14045473,SM,,TRUE,JA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
2490666,18131,91520,SM,,TRUE,EN,82928,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,FALSE
22280226,8230,1398419,SM,,TRUE,EN,14045753,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
456706435,8095,1393690,SM,1469711,TRUE,EN,14055775,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
18135438,13878,1236440,SM,,TRUE,EN,1829889,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,
556694614,11756,1605774,SM,,TRUE,EN,14055648,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
383120310,13874,116861,SM,,TRUE,EN,56254,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE
273654,11352,72218,SM,,TRUE,EN,14055452,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
881938,12868,46526,SM,,TRUE,EN,14048156,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
747218,12871,126896,SM,,TRUE,EN,14048187,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
556694183,8845,1456091,SM,,TRUE,EN,1496652,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
13739048,2055,820856,SM,,TRUE,EN,14054675,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
1517956,4830,50002,SM,,TRUE,EN,14046832,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
17553536,1379,1185263,SM,,TRUE,EN,14054939,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
260180,4347,69318,SM,,TRUE,EN,14054871,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
8859586,4512,788757,SM,,TRUE,EN,14048731,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
383552802,3904,1185198,SM,1162247,TRUE,EN,14048682,SM,,TRUE,JA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
279227,4950,73018,SM,,TRUE,EN,14048168,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
9715695,4043,803726,SM,,TRUE,EN,14047854,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
1103583,655,65930,SM,,TRUE,EN,14048312,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
268625,3902,71102,SM,,TRUE,EN,14047553,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
1616499,298,76586,SM,,TRUE,EN,995212,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,FALSE
