Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping
9119,467137,[66760],[64774],"[{'66760': 'rovi_id:437334,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":336,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '9923,Map_reason:{""color"":0,""language"":0,""credits"":1.0,""directors"":1.0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":0,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:64774"",""id_2"":""vudu:9923"",""score"":3.9}'}]","[{'66760': 'rovi_id:467137,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":336,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
9120,430978,50906,50906,,,,,,Pass,Pass
9121,430977,567646,567646,,,,,,Pass,Pass
9122,1402274,616635,616635,,,,,,Pass,Pass
9123,427806,12258243,12258243,,,,,,Pass,Pass
9125,1083334,83357,83357,,,,,,Pass,Pass
9127,17637712,51177,51177,,,,,,Pass,Pass
9128,429231,55955,55955,,,,,,Pass,Pass
9129,448358,51128,51128,,,,,,Pass,Pass
9130,462296,52834,52834,,,,,,Pass,Pass
9131,430516,79155,79155,,,,,,Pass,Pass
9132,423043,52996,52996,,,,,,Pass,Pass
9133,446381,52634,52634,,,,,,Pass,Pass
9134,455862,54049,54049,,,,,,Pass,Pass
9135,449492,67218,67218,,,,,,Pass,Pass
9136,423069,71743,71743,,,,,,Pass,Pass
9137,446388,50871,50871,,,,,,Pass,Pass
9138,19916837,93494,93494,,,,,,Pass,Pass
