Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping,hulu_id_present,gb_id_present
360975,1464878,70518,14878209,"[{'source_id': '360975,Map_reason:{""color"":0.0,""language"":0.0,""credits"":1.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":22.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.4}'}]","[{'70518': 'rovi_id:1464878,Map_reason:{""titleMapType"":""Distance"",""titleScore"":0.8333333333333334,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":22,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}, {'gb_id': '13394'}, {'source_id': '29214,Map_reason:{""color"":0.0,""language"":0.0,""credits"":1.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":24.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.4}'}]",,True,False,Fail,Fail,False,True
360992,21883211,773796,773796,,,,,,Pass,Pass,,
361039,67142225,11116,11116,,,,,,Pass,Pass,,
361055,19356330,767723,767723,,,,,,Pass,Pass,,
361059,22163628,108932,108932,,,,,,Pass,Pass,,
361063,11739611,655004,655004,,,,,,Pass,Pass,,
361662,21758876,105735,105735,,,,,,Pass,Pass,,
361953,982760740,103464,103464,,,,,,Pass,Pass,,
361975,982760208,96167,96167,,,,,,Pass,Pass,,
361980,22018947,104678,104678,,,,,,Pass,Pass,,
361985,982759777,103426,103426,,,,,,Pass,Pass,,
362132,1331830141,880537,880537,,,,,,Pass,Pass,,
362176,20003003,97975,97975,,,,,,Pass,Pass,,
362831,21521283,101989,101989,,,,,,Pass,Pass,,
362879,443887551,244525,244525,,,,,,Pass,Pass,,
362951,22419827,949922,949922,,,,,,Pass,Pass,,
363006,21568654,774128,774128,,,,,,Pass,Pass,,
363014,297004621,248260,248260,,,,,,Pass,Pass,,
363018,17359099,121850,121850,,,,,,Pass,Pass,,
363022,309234054,798188,798188,,,,,,Pass,Pass,,
363034,21652047,115608,115608,,,,,,Pass,Pass,,
363038,12278498,103192,103192,,,,,,Pass,Pass,,
363046,22413508,96952,96952,,,,,,Pass,Pass,,
363420,462887,571134,571134,,,,,,Pass,Pass,,
363442,13715754,735656,735656,,,,,,Pass,Pass,,
363449,17320912,741854,741854,,,,,,Pass,Pass,,
363456,66044260,105608,105608,,,,,,Pass,Pass,,
363464,21545956,129910,129910,,,,,,Pass,Pass,,
363517,15190857,103068,103068,,,,,,Pass,Pass,,
363518,20372109,109916,109916,,,,,,Pass,Pass,,
363583,443885602,812653,812653,,,,,,Pass,Pass,,
363972,13934868,42879,42879,,,,,,Pass,Pass,,
364026,17122965,102500,102500,,,,,,Pass,Pass,,
364163,19985951,111624,111624,,,,,,Pass,Pass,,
364409,18104348,120109,120109,,,,,,Pass,Pass,,
364417,19996695,224797,224797,,,,,,Pass,Pass,,
364421,67264782,792934,792934,,,,,,Pass,Pass,,
364432,22547578,936078,936078,,,,,,Pass,Pass,,
364438,2422812,118153,118153,,,,,,Pass,Pass,,
364676,21962584,154198,154198,,,,,,Pass,Pass,,
364701,22254399,102943,102943,,,,,,Pass,Pass,,
364706,21709393,12269951,12269951,,,,,,Pass,Pass,,
364711,982759740,21350,21350,,,,,,Pass,Pass,,
364718,22254389,781042,781042,,,,,,Pass,Pass,,
364722,21648491,28257,28257,,,,,,Pass,Pass,,
364754,66358156,788195,788195,,,,,,Pass,Pass,,
364769,377523,18235,18235,,,,,,Pass,Pass,,
364814,1453189,71406,71406,,,,,,Pass,Pass,,
364881,21521325,773503,773503,,,,,,Pass,Pass,,
364885,22254113,137219,137219,,,,,,Pass,Pass,,
364893,13893481,736147,736147,,,,,,Pass,Pass,,
364905,9715341,98802,98802,,,,,,Pass,Pass,,
364909,11951954,98749,98749,,,,,,Pass,Pass,,
