Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping
22115,1315885,59357,59357,,,,,,Pass,Pass
22120,1307560,60422,60422,,,,,,Pass,Pass
22121,424930,50763,50763,,,,,,Pass,Pass
22188,464426,78720,78720,,,,,,Pass,Pass
22189,1070615,65864,65864,,,,,,Pass,Pass
22205,1323056,59208,59208,,,,,,Pass,Pass
22209,425471,64509,64509,,,,,,Pass,Pass
22214,468262,54949,54949,,,,,,Pass,Pass
22215,452922,53927,53927,,,,,,Pass,Pass
22216,428564,50592,50592,,,,,,Pass,Pass
22242,1265235,61098,61098,,,,,,Pass,Pass
22253,468938,55192,55192,,,,,,Pass,Pass
22254,1068030,88093,88093,,,,,,Pass,Pass
22269,1081922,64459,64459,,,,,,Pass,Pass
22270,1053678,61761,61761,,,,,,Pass,Pass
22272,474403,74063,74063,,,,,,Pass,Pass
22273,1075755,71878,71878,,,,,,Pass,Pass
22277,1053677,72586,72586,,,,,,Pass,Pass
22279,426777,52526,52526,,,,,,Pass,Pass
22287,1063824,616578,616578,,,,,,Pass,Pass
22302,1316003,60535,60535,,,,,,Pass,Pass
22308,436253,63593,63593,,,,,,Pass,Pass
22311,1082788,362025,362025,,,,,,Pass,Pass
22313,18880740,11040,11040,,,,,,Pass,Pass
22314,1329575,612548,612548,,,,,,Pass,Pass
22316,1342949,91064,91064,,,,,,Pass,Pass
22317,1356059,118866,118866,,,,,,Pass,Pass
22319,1315888,95285,95285,,,,,,Pass,Pass
22321,454048,83129,83129,,,,,,Pass,Pass
22322,1229450,12259469,12259469,,,,,,Pass,Pass
22323,1324864,62511,62511,,,,,,Pass,Pass
22330,1084610,57845,57845,,,,,,Pass,Pass
22397,82456,522214,522214,,,,,,Pass,Pass
22403,470878,54142,54142,,,,,,Pass,Pass
22404,1069660,63364,63364,,,,,,Pass,Pass
22408,459325,50279,50279,,,,,,Pass,Pass
22412,1060538,74444,74444,,,,,,Pass,Pass
22414,38781,510937,510937,,,,,,Pass,Pass
22415,11954753,53534,53534,,,,,,Pass,Pass
22436,982759640,122487,122487,,,,,,Pass,Pass
22440,1692649,628198,628198,,,,,,Pass,Pass
22452,1324889,60876,60876,,,,,,Pass,Pass
22474,1300020,60441,59538,"[{'60441': 'rovi_id:989232186,Map_reason:{""titleMapType"":""Distance"",""titleScore"":0.8,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":238,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '22474,Map_reason:{""color"":0.0,""language"":0.0,""credits"":0.8888888889,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":0.0,""run_time"":0.0,""release_year_diff"":2.0,""release_year_missing"":0.0,""run_time_diff"":158.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.1444444444}'}]","[{'60441': 'rovi_id:1300020,Map_reason:not found in projectx'}]",TRUE,,FALSE,Fail,Fail
22479,423136,607514,607514,,,,,,Pass,Pass
22481,453342,49865,49865,,,,,,Pass,Pass
22483,1325244,72169,72169,,,,,,Pass,Pass
22492,1320127,87597,87597,,,,,,Pass,Pass
22502,1065640,65809,65809,,,,,,Pass,Pass
22523,473340,53454,53454,,,,,,Pass,Pass
22525,438077,50421,50421,,,,,,Pass,Pass
22527,1342970,613124,613124,,,,,,Pass,Pass
22530,1324949,60215,60215,,,,,,Pass,Pass
22549,425502,52502,52502,,,,,,Pass,Pass
22573,1315895,59763,59763,,,,,,Pass,Pass
22579,429744,68031,68031,,,,,,Pass,Pass
22640,982878511,53054,53054,,,,,,Pass,Pass
22642,1324954,71646,71646,,,,,,Pass,Pass
22676,1059178,82697,82697,,,,,,Pass,Pass
22680,1094895,82573,82573,,,,,,Pass,Pass
22690,1093479,109994,109994,,,,,,Pass,Pass
22692,1344906,78026,78026,,,,,,Pass,Pass
22700,1334992,60924,60924,,,,,,Pass,Pass
22740,284458,554468,60036,"[{'554468': 'rovi_id:982759705,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":8,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '22740,Map_reason:{""color"":0.0,""language"":0.0,""credits"":0.7777777778,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":95.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.2888888889}'}]","[{'554468': 'rovi_id:284458,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":540,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",TRUE,,FALSE,Fail,Fail
22755,1083717,86379,86379,,,,,,Pass,Pass
22761,458411,80287,80287,,,,,,Pass,Pass
22816,1058940,81218,81218,,,,,,Pass,Pass
22820,468937,64676,64676,,,,,,Pass,Pass
22842,436640,65558,65558,,,,,,Pass,Pass
22845,435975,50864,50864,,,,,,Pass,Pass
22864,1335003,80065,80065,,,,,,Pass,Pass
22880,455798,76903,76903,,,,,,Pass,Pass
22881,1334982,59898,59898,,,,,,Pass,Pass
22914,429934,62320,62320,,,,,,Pass,Pass
22916,458412,72248,72248,,,,,,Pass,Pass
22917,1344546960,882123,882123,,,,,,Pass,Pass
22922,424927,58736,58736,,,,,,Pass,Pass
22935,461003,61501,61501,,,,,,Pass,Pass
22938,327230047,802523,802523,,,,,,Pass,Pass
22944,1067597,581637,581637,,,,,,Pass,Pass
22951,1059657,577300,577300,,,,,,Pass,Pass
22965,436480,948702,948702,,,,,,Pass,Pass
22976,1076061,75520,75520,,,,,,Pass,Pass
22977,1085996,61518,61518,,,,,,Pass,Pass
22979,17610289,66716,66716,,,,,,Pass,Pass
22980,430628,59467,59467,,,,,,Pass,Pass
23024,1335068,58912,58912,,,,,,Pass,Pass
23131,1022080325,76940,76940,,,,,,Pass,Pass
23137,1344790,61106,61106,,,,,,Pass,Pass
23166,424566,90152,90152,,,,,,Pass,Pass
23170,461403,2170,2170,,,,,,Pass,Pass
23174,1335075,131801,131801,,,,,,Pass,Pass
23175,1365314,12660,12660,,,,,,Pass,Pass
23180,459463,3214,3214,,,,,,Pass,Pass
23219,973899948,126684,126684,,,,,,Pass,Pass
23253,473710,56566,56566,,,,,,Pass,Pass
23254,1059350,52482,52482,,,,,,Pass,Pass
23255,458453,116897,116897,,,,,,Pass,Pass
23264,424353,53644,53644,,,,,,Pass,Pass
23278,1393799,615859,615859,,,,,,Pass,Pass
23286,451690,53461,53461,,,,,,Pass,Pass
23290,438058,106745,106745,,,,,,Pass,Pass
23291,423804,54575,54575,,,,,,Pass,Pass
23296,1344877,59493,59493,,,,,,Pass,Pass
23298,1063500,151590,151590,,,,,,Pass,Pass
23304,150931,539291,539291,,,,,,Pass,Pass
23309,437837,52932,52932,,,,,,Pass,Pass
23323,452820,55993,55993,,,,,,Pass,Pass
23368,1355408,59750,59750,,,,,,Pass,Pass
23406,470528,57569,57569,,,,,,Pass,Pass
23449,1344836,86820,86820,,,,,,Pass,Pass
23465,437842,64802,64802,,,,,,Pass,Pass
23468,1366010,12259620,12259620,,,,,,Pass,Pass
23521,1355104,75303,75303,,,,,,Pass,Pass
23594,982759648,67918,67918,,,,,,Pass,Pass
23600,1307523,59708,59708,,,,,,Pass,Pass
23603,1165405,22647,22647,,,,,,Pass,Pass
23608,441028,70392,70392,,,,,,Pass,Pass
23632,1344809,613188,613188,,,,,,Pass,Pass
23634,1160292,22594,22594,,,,,,Pass,Pass
23642,1299063,71628,71628,,,,,,Pass,Pass
23644,344613,559666,559666,,,,,,Pass,Pass
23648,1088477,25059,25059,,,,,,Pass,Pass
23653,1001757387,53520,53520,,,,,,Pass,Pass
23656,434979,69382,69382,,,,,,Pass,Pass
23657,451008,97278,97278,,,,,,Pass,Pass
23662,27797,391283,391283,,,,,,Pass,Pass
23676,427148,50071,50071,,,,,,Pass,Pass
23677,982759970,55361,55361,,,,,,Pass,Pass
23717,445938,50349,50349,,,,,,Pass,Pass
23724,426280,50104,50104,,,,,,Pass,Pass
23731,428027,54019,54019,,,,,,Pass,Pass
23736,456725,78122,78122,,,,,,Pass,Pass
23739,464989,55896,55896,,,,,,Pass,Pass
23741,426755,54903,54903,,,,,,Pass,Pass
23744,1222734,957258,957258,,,,,,Pass,Pass
23756,1362743,61923,61923,,,,,,Pass,Pass
23797,1355139,136714,136714,,,,,,Pass,Pass
23877,424518,51059,51059,,,,,,Pass,Pass
23882,429635,111740,111740,,,,,,Pass,Pass
23883,423102,58380,58380,,,,,,Pass,Pass
23885,1053869,574501,574501,,,,,,Pass,Pass
23889,461360,90760,90760,,,,,,Pass,Pass
23893,1374348,74011,74011,,,,,,Pass,Pass
23948,427192,51178,51178,,,,,,Pass,Pass
23954,426695,67546,67546,,,,,,Pass,Pass
23963,1355144,60942,60942,,,,,,Pass,Pass
23987,427113,151057,151057,,,,,,Pass,Pass
23994,1063632,579605,579605,,,,,,Pass,Pass
23995,1365700,74150,74150,,,,,,Pass,Pass
23998,20434655,77838,77838,,,,,,Pass,Pass
24000,1365562,61102,61102,,,,,,Pass,Pass
24026,1658579,68089,68089,,,,,,Pass,Pass
24058,1088424,592338,592338,,,,,,Pass,Pass
24059,1483273,70839,70839,,,,,,Pass,Pass
24060,1365505,61261,61261,,,,,,Pass,Pass
24061,427287,67191,67191,,,,,,Pass,Pass
24066,1371366,82050,82050,,,,,,Pass,Pass
24070,1055453,130381,130381,,,,,,Pass,Pass
24071,423777,56698,56698,,,,,,Pass,Pass
24072,442281,568683,568683,,,,,,Pass,Pass
24078,1068871,72006,72006,,,,,,Pass,Pass
24101,462277,54240,54240,,,,,,Pass,Pass
24119,209266,546293,546293,,,,,,Pass,Pass
24136,1083594,56139,56139,,,,,,Pass,Pass
24230,1364343,62110,62110,,,,,,Pass,Pass
24238,1072413,584412,584412,,,,,,Pass,Pass
24241,430047,567565,567565,,,,,,Pass,Pass
24251,1058224,70097,70097,,,,,,Pass,Pass
24304,1365499,60756,60756,,,,,,Pass,Pass
24322,1376273,66403,66403,,,,,,Pass,Pass
24323,473530,130317,130317,,,,,,Pass,Pass
24326,464673,54001,54001,,,,,,Pass,Pass
24329,1374351,12259637,12259637,,,,,,Pass,Pass
24333,426149,57801,57801,,,,,,Pass,Pass
24334,1371113,60102,60102,,,,,,Pass,Pass
24338,1374239,62885,62885,,,,,,Pass,Pass
24339,423009,138937,138937,,,,,,Pass,Pass
24430,1325572,67803,67803,,,,,,Pass,Pass
24431,1374280,60566,60566,,,,,,Pass,Pass
24436,79905,521583,521583,,,,,,Pass,Pass
24437,1084854,59453,59453,,,,,,Pass,Pass
24439,423366,82239,82239,,,,,,Pass,Pass
24440,435262,125994,125994,,,,,,Pass,Pass
24442,455337,128994,128994,,,,,,Pass,Pass
24443,1072033,121092,121092,,,,,,Pass,Pass
24448,1064255,128107,128107,,,,,,Pass,Pass
24449,1065853,79461,79461,,,,,,Pass,Pass
24518,1374334,61640,61640,,,,,,Pass,Pass
24519,1334735,65973,65973,,,,,,Pass,Pass
24524,1384776,72347,72347,,,,,,Pass,Pass
24535,422953,57627,57627,,,,,,Pass,Pass
