Hulu_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_Hulu,Dev_Hulu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Hulu_id_present,variant_present,Comment,Result of mapping
579720,1053427,Traitor,2008,94913,79555,"[{'94913': 'rovi_id:1011544835,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":152,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '579720,Map_reason:{""color"":0.0,""language"":1.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":1.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":5.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.2}'}]","[{'94913': 'rovi_id:1053427,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":32,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",TRUE,,FALSE,Fail,Fail
576773,79618,The Reunion,2011,521406,148455,"[{'521406': 'rovi_id:19927984,Map_reason:{""titleMapType"":""Distance"",""titleScore"":0.875,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":38,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '576773,Map_reason:{""color"":0,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":84,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:148455"",""id_2"":""hulu:576773"",""score"":3.2}'}]","[{'521406': 'rovi_id:79618,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":285,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",TRUE,,FALSE,Fail,Fail
588488,528673415,Breakup at a Wedding,2013,304189,304189,,,,,,Pass,Pass
589046,426834,Rocky V,1990,49251,49251,,,,,,Pass,Pass
589045,6693722777,Rocky,1976,1082525,581566,"[{'1082525': 'rovi_id:1067214,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":488,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '589045,Map_reason:{""color"":0.0,""language"":1.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":1.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":34.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.2}'}]","[{'1082525': 'rovi_id:6693722777,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":10,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",TRUE,,FALSE,Fail,Fail
589056,1073365,Rocky II,1979,585221,585221,,,,,,Pass,Pass
578263,18099870,The Chaperone,2011,107970,107970,,,,,,Pass,Pass
588720,66345457,Off Label,2013,788143,788143,,,,,,Pass,Pass
579781,361429726,A Teacher,2013,806885,806885,,,,,,Pass,Pass
575465,425485,No Holds Barred,1989,567027,567027,,,,,,Pass,Pass
582880,1346209698,Legendary,2010,977300,977300,,,,,,Pass,Pass
580164,1162004376,Inside Out ,2011,270700,787711,"[{'270700': 'rovi_id:66260259,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":198,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '580164,Map_reason:{""color"":0,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":208,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:787711"",""id_2"":""hulu:580164"",""score"":3.2}'}]","[{'270700': 'rovi_id:1162004376,Map_reason:not found in projectx'}]",TRUE,,FALSE,Fail,Fail
622165,14928576,Meek's Cutoff,2011,118414,118414,,,,,,Pass,Pass
568833,16897492,Spaceballs,1987,84513,84513,,,,,,Pass,Pass
574663,129876,Ninja Scroll,1993,537248,14566240,"[{'source_id': '574663,Map_reason:new'}]","[{'537248': 'rovi_id:129876,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":19,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,FALSE,Fail,Fail
559102,360553831,Angelina Ballerina: Dance Around the World,2013,1797752,1797752,,,,,,Pass,Pass
559845,1000440803,The People vs. George Lucas,2011,780252,780252,,,,,,Pass,Pass
554463,1662552,The Punisher,2004,70134,70134,,,,,,Pass,Pass
560547,2108373,Man About Town,2007,71398,71398,,,,,,Pass,Pass
562324,22172966,28 Hotel Rooms,2013,97076,97076,,,,,,Pass,Pass
552726,323288556,Bob the Builder: Teamwork Time!,2012,1785050,1785050,,,,,,Pass,Pass
552124,317584799,Thomas & Friends: Sticky Situations,2012,1780974,1780974,,,,,,Pass,Pass
552123,21969223,Thomas & Friends: Curious Cargo,2012,227680,227680,,,,,,Pass,Pass
552730,327215824,Barney: Let's Go to the Moon,2013,1787919,1787919,,,,,,Pass,Pass
552729,312286475,Barney: Let's Go to the Doctor,2012,237449,237449,,,,,,Pass,Pass
552737,316582942,Angelina Ballerina: Superstar Sisters,2012,1780613,14531673,"[{'source_id': '552737,Map_reason:{""color"":1.0,""language"":1.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":1.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":1.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":0.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.3}'}]","[{'1780613': 'rovi_id:316582942,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":3,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}]",,,FALSE,Fail,Fail
543530,22347998,Angelina Ballerina: Ballerina Princess,2012,1728458,1728458,,,,,,Pass,Pass
541355,458865,Star Kid,1998,61047,61047,,,,,,Pass,Pass
552126,468856718,Bob The Builder: Building Buddies,2013,1818608,1818608,,,,,,Pass,Pass
