source,sm_id,id,show_type,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id_count for duplicate,Hulu_id count for duplicate,Mapped rovi_id for duplicate,Mapped gb_id for duplicate,Mapped Hulu_id for duplicate,variant parent id present,variant_parent_id,link_fetched_from,Sources of link
Hulu,216292,4289,[],,Ally McBeal,,1997,FALSE,"[2964808, 14787014]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,215472,4347,215472,,Full Metal Panic!,,2002,FALSE,[14411888],,,,"('No multiple ids for this link', 215472, 4347)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,214495,5769,214495,,The Mighty Boosh,,2004,FALSE,[5214378],,,,"('No multiple ids for this link', 214495, 5769)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,207212,4316,207212,,Desert Punk,,2004,FALSE,[4122772],,,,"('No multiple ids for this link', 207212, 4316)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,211313,5710,211313,,High School of the Dead,,2010,FALSE,[7329586],,,,"('No multiple ids for this link', 211313, 5710)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,203840,4646,203840,,Shiki,,2010,FALSE,[7365230],,,,"('No multiple ids for this link', 203840, 4646)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,203386,5405,203386,,Flavor of Love,,2006,FALSE,[5240780],,,,"('No multiple ids for this link', 203386, 5405)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,202199,63,202199,,My Name Is Earl,,2005,FALSE,[12260495],,,,"('No multiple ids for this link', 202199, 63)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,201400,5341,201400,,Yu-Gi-Oh! GX,,2004,FALSE,[3266624],,,,"('No multiple ids for this link', 201400, 5341)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,200947,35,200947,,It's Always Sunny in Philadelphia,,2005,FALSE,[2804314],,,,"('No multiple ids for this link', 200947, 35)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,200687,3890,200687,,Spice and Wolf,,2008,FALSE,[7364394],,,,"('No multiple ids for this link', 200687, 3890)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,200259,4512,200259,,Kaze no Stigma,,2007,FALSE,[14411529],,,,"('No multiple ids for this link', 200259, 4512)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,198337,1238,198337,,Sons of Anarchy,,2008,FALSE,[3221849],,,,"('No multiple ids for this link', 198337, 1238)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,198525,26088,198525,,Flavor of Love: Charm School,,2007,FALSE,[2987786],,,,"('No multiple ids for this link', 198525, 26088)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,195112,4775,195112,,Claymore,,2007,FALSE,[14411152],,,,"('No multiple ids for this link', 195112, 4775)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,197716,5406,197716,,I Love New York,,2007,FALSE,[5317683],,,,"('No multiple ids for this link', 197716, 5406)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,189960,3904,189960,,Soul Eater,,2008,FALSE,[13440338],,,,"('No multiple ids for this link', 189960, 3904)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,184708,4317,184708,,Vandread,,2000,FALSE,[5116718],,,,"('No multiple ids for this link', 184708, 4317)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,183757,1847,183757,,Heroic Age,,2007,FALSE,[14413168],,,,"('No multiple ids for this link', 183757, 1847)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,180769,4069,180769,,Vampire Knight,,2008,FALSE,[6975797],,,,"('No multiple ids for this link', 180769, 4069)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,179249,4950,[],,Princess Tutu,,2005,FALSE,"[4117589, 14619477]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,177579,4981,177579,,Coupling,,2000,FALSE,[2818928],,,,"('No multiple ids for this link', 177579, 4981)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,176315,4174,[],,D.Gray-man,,2006,FALSE,"[8132077, 13435269]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,175784,2427,175784,,The Commish,,1991,FALSE,[4208448],,,,"('No multiple ids for this link', 175784, 2427)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,174690,3597,[],,Fruits Basket,,2001,FALSE,"[4110188, 14412674]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,174046,3511,174046,,Hunter,,1984,FALSE,[4237213],,,,"('No multiple ids for this link', 174046, 3511)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,173919,4917,173919,,Tears to Tiara,,2009,FALSE,[13430535],,,,"('No multiple ids for this link', 173919, 4917)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,172689,4831,172689,,Eden of the East,,2009,FALSE,[13434848],,,,"('No multiple ids for this link', 172689, 4831)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,171242,4435,[],,Negima!,,2005,FALSE,"[12947745, 14411638]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
