GuideBox_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping series
31920,1377141430,9284763,9284763,,,,,,Pass,Pass
31919,1501789658,3993124,3993124,,,,,,Pass,Pass
31956,1457027240,3694207,3694207,,,,,,Pass,Pass
28922,1742832453,9503497,9503497,,,,,,Pass,Pass
22655,726231478,3584781,3584781,,,,,,Pass,Pass
28162,960020040,3545153,14376307,[{'sourceId': '28162'}],"[{'rovi_projectx_id_mapped': 'rovi_id:960020040,Map_reason:not found in projectx'}]",,,False,Fail,Fail
32635,4113817273,10572922,10572922,,,,,,Pass,Pass
32673,1523579086,3709670,3709670,,,,,,Pass,Pass
29509,1373810517,9281057,9281057,,,,,,Pass,Pass
31885,1544489031,10048024,10048024,,,,,,Pass,Pass
33359,1786768768,9522957,9522957,,,,,,Pass,Pass
32504,1046916124,9936393,9936393,,,,,,Pass,Pass
29088,1237755841,9086105,9086105,,,,,,Pass,Pass
21998,1219877239,9063599,9063599,,,,,,Pass,Pass
33446,1288022200,9158511,9158511,,,,,,Pass,Pass
31942,1460466111,10046774,10046774,,,,,,Pass,Pass
28651,1482900873,9377631,9377631,,,,,,Pass,Pass
33680,3289010670,10259635,10259635,,,,,,Pass,Pass
33788,1830486866,3717298,3717298,,,,,,Pass,Pass
26994,1150336527,3878244,3878244,,,,,,Pass,Pass
33833,1803088475,9531270,9531270,,,,,,Pass,Pass
33895,1440588702,3748835,3748835,,,,,,Pass,Pass
33450,1519091656,3726004,3726004,,,,,,Pass,Pass
34002,11886086,3175977,3175977,,,,,,Pass,Pass
33735,1443670102,3748102,3748102,,,,,,Pass,Pass
34030,13765529,6804150,6804150,,,,,,Pass,Pass
29151,1519092102,3910437,3910437,,,,,,Pass,Pass
34167,3925036463,10467004,14343518,[{'sourceId': '34167'}],"[{'rovi_projectx_id_mapped': 'rovi_id:3925036463,Map_reason:not found in projectx'}]",,,False,Fail,Fail
34145,1253941394,9105070,9105070,,,,,,Pass,Pass
33736,1443729890,3771588,3771588,,,,,,Pass,Pass
29152,1450853280,9346891,9346891,,,,,,Pass,Pass
32681,1490453251,9384606,9384606,,,,,,Pass,Pass
34471,819350096,8586685,8586685,,,,,,Pass,Pass
34460,3398102571,10313745,10313745,,,,,,Pass,Pass
34513,1866811435,3793259,3793259,,,,,,Pass,Pass
32666,1130653065,3886432,3886432,,,,,,Pass,Pass
29023,1241168692,10056496,10056496,,,,,,Pass,Pass
33991,4224197994,10782846,10782846,,,,,,Pass,Pass
32268,1227921989,3938568,3938568,,,,,,Pass,Pass
32464,1300375604,9189784,9189784,,,,,,Pass,Pass
33402,982844461,10010939,10010939,,,,,,Pass,Pass
34813,10465529,3277287,3277287,,,,,,Pass,Pass
34885,1897645272,9971915,9971915,,,,,,Pass,Pass
32463,1787000299,3909986,3909986,,,,,,Pass,Pass
