Vudu_series_id,Vudu_id,show_type,purchase_type
290970,290657,SE,True
290862,290663,SE,Null
290862,290665,SE,Null
290862,290667,SE,Null
290862,290669,SE,Null
290862,290671,SE,Null
290862,290673,SE,Null
290862,290677,SE,Null
290862,290679,SE,Null
290862,290681,SE,Null
290862,290683,SE,Null
290862,290685,SE,Null
290862,290687,SE,Null
290967,290693,SE,True
290967,290695,SE,True
290967,290697,SE,True
290967,290699,SE,True
290967,290701,SE,True
290967,290703,SE,True
290967,290705,SE,True
290967,290707,SE,True
290967,290709,SE,True
290967,290711,SE,True
290967,290713,SE,True
290967,290715,SE,True
290969,290719,SE,True
290969,290721,SE,True
290969,290723,SE,True
290969,290725,SE,True
290969,290727,SE,True
290969,290729,SE,True
290969,290731,SE,True
290969,290733,SE,True
290969,290735,SE,True
290969,290737,SE,True
290969,290739,SE,True
290969,290741,SE,True
290893,290745,SE,True
290893,290747,SE,True
290893,290749,SE,True
290893,290751,SE,True
290893,290753,SE,True
290893,290755,SE,True
290893,290757,SE,True
290893,290759,SE,True
290893,290763,SE,True
290893,290765,SE,True
290893,290767,SE,True
290893,290770,SE,True
290893,290773,SE,True
290893,290775,SE,True
290893,290778,SE,True
290893,290781,SE,True
290893,290787,SE,True
290893,290790,SE,True
290893,290792,SE,True
290893,290794,SE,True
290893,290796,SE,True
290893,290798,SE,True
290893,290800,SE,True
290893,290802,SE,True
290970,290806,SE,True
290970,290808,SE,True
290970,290810,SE,True
290970,290812,SE,True
290970,290814,SE,True
290970,290816,SE,True
290970,290818,SE,True
290970,290820,SE,True
290970,290822,SE,True
290970,290824,SE,True
290970,290826,SE,True
290970,290828,SE,True
290970,290830,SE,True
290970,290834,SE,True
290970,290836,SE,True
290970,290838,SE,True
290970,290840,SE,True
290970,290842,SE,True
290970,290844,SE,True
290970,290846,SE,True
290970,290848,SE,True
290970,290850,SE,True
290970,290852,SE,True
290970,290854,SE,True
290970,290856,SE,True
290970,290858,SE,True
0,290861,SM,Null
0,290862,SM,Null
0,290863,SM,Null
0,290868,SM,Null
289437,290869,SE,True
289437,290873,SE,True
289437,290877,SE,True
289437,290881,SE,True
286700,290885,SE,True
286700,290889,SE,True
0,290893,SM,Null
0,290894,SM,Null
0,290895,SM,Null
0,290900,SM,Null
0,290901,SM,Null
0,290902,SM,Null
0,290904,SM,Null
0,290910,MO,True
0,290914,MO,True
0,290924,MO,True
0,290931,SM,Null
267744,290932,SE,True
265748,290936,SE,True
0,290940,SM,Null
0,290942,SM,Null
265748,290947,SE,True
266601,290949,SE,True
271063,290953,SE,True
271063,290957,SE,True
271773,290961,SE,True
267744,290965,SE,True
0,290967,SM,Null
0,290969,SM,Null
0,290970,SM,Null
0,290971,MO,True
0,290976,MO,True
0,290981,MO,True
0,290986,MO,True
0,290993,MO,True
0,290997,MO,True
0,291001,MO,True
0,291013,SM,Null
0,291014,SM,Null
291014,291017,SE,True
291014,291019,SE,True
291014,291021,SE,True
291014,291023,SE,True
291014,291025,SE,True
291014,291027,SE,True
291014,291032,SE,True
291014,291035,SE,True
0,291039,MO,True
0,291046,MO,True
0,291057,MO,True
0,291060,MO,True
0,291062,MO,True
0,291066,MO,True
0,291070,MO,True
273788,291074,SE,True
273767,291078,SE,True
291014,291089,SE,True
291014,291091,SE,True
291014,291093,SE,True
291014,291095,SE,True
291014,291097,SE,True
291014,291099,SE,True
291014,291101,SE,True
291014,291103,SE,True
291014,291105,SE,True
0,291107,SM,Null
0,291109,SM,Null
0,291110,SM,Null
291110,291112,SE,True
291110,291115,SE,True
291110,291117,SE,True
291110,291119,SE,True
291110,291122,SE,True
291110,291125,SE,True
291110,291127,SE,True
291110,291129,SE,True
291110,291132,SE,True
291110,291135,SE,True
291110,291137,SE,True
291110,291139,SE,True
0,291141,SM,Null
0,291142,SM,Null
0,291143,SM,Null
0,291144,MO,True
273767,291148,SE,True
273767,291152,SE,True
0,291156,SM,Null
291156,291159,SE,True
291156,291163,SE,True
291156,291167,SE,True
291156,291171,SE,True
291156,291175,SE,True
291156,291179,SE,True
0,291183,SM,Null
0,291184,SM,Null
0,291186,SM,Null
0,291189,SM,Null
0,291190,SM,Null
0,291192,MO,True
286271,291196,SE,True
271063,291200,SE,True
273767,291201,SE,True
273788,291208,SE,True
273788,291212,SE,True
279448,291224,SE,True
232539,291228,SE,True
232539,291232,SE,True
244836,291236,SE,True
244836,291240,SE,True
289437,291244,SE,True
232560,291248,SE,Null
0,291252,SM,Null
281818,291283,SE,True
281818,291287,SE,True
266601,291291,SE,True
266601,291295,SE,True
266601,291299,SE,True
266601,291303,SE,True
