GB_id,Movie_name,GB_ReleaseYear,Rovi_id
1119,Halloween: Resurrection,2002,91747
1120,K-19: The Widowmaker,2002,81090
1126,Hombre,1967,79213
1132,Paid in Full,2002,65644
1136,The Great Mouse Detective,1986,86190
1137,Backflash,2002,626148
1140,Top Secret!,1984,57370
1142,Girls in Prison,1994,23657
1144,Siberian Lady Macbeth,1962,509858
1146,XXX,2002,82756
1150,Dahmer,2002,619110
1155,The Gospel According to Philip K. Dick,2001,543152
1159,Bowery at Midnight,1942,570166
1160,Hey Arnold! The Movie,2002,40716
1161,The Serpent's Kiss,1997,613233
1163,Y Tu MamÃ¡ TambiÃ©n,2001,60403
1165,Ted Bundy,2002,80500
1167,The Surge,2002,622896
1170,The Big Knife,1955,95490
1174,8 Heads in a Duffel Bag,1997,54917
1175,Transylvania 6-5000,1985,584966
1176,Vamp,1986,65558
1179,The Land Before Time IX: Journey to Big Water,2002,4319
1181,The Land Before Time II: The Great Valley Adventure,1994,2146
1184,The Knack...and How to Get It,1965,163139
1186,The Long Goodbye,1973,53990
1190,Citizen Toxie: The Toxic Avenger IV,2001,121201
1197,The Rocking Horse Winner,1949,581597
1199,Frances,1982,566988
1200,House II: The Second Story,1987,55437
1201,House,1986,50279
1204,The Mirror Crack'd,1980,96477
1205,Hopscotch,1980,105800
1211,Code Unknown,2000,624706
1214,Hellraiser,1987,56953
1215,Flowers in the Attic,1987,56179
1216,The Care Bears Movie,1985,575122
1217,Stormy Monday,1988,85058
1219,Hellraiser VI: Hellseeker,2002,6759
1221,Things Behind the Sun,2001,83608
1223,Hercules in the Haunted World,1961,12258116
1226,Stealing Harvard,2002,62922
1228,Borstal Boy,2000,622918
1232,Baran,2001,67673
1235,Triumph of the Spirit,1989,55501
1236,Kissing Jessica Stein,2001,62502
1239,Donnie Darko,2001,67348
1240,Taps,1981,53383
1242,No Such Thing,2001,61795
1243,Clockstoppers,2002,62154
1244,Cinema Paradiso,1988,72149
1245,The Man from Snowy River,1982,77587
1248,Soapdish,1991,67546
1252,Monkey Business,1952,82119
1256,The Cat's Meow,2001,61871
1257,Shaolin Soccer,2001,68089
1259,Changing Lanes,2002,67839
1260,Epoch,2001,83611
1268,Slap Shot,1977,80875
1270,Slap Shot 2: Breaking the Ice,2002,12259685
1273,Trees Lounge,1996,671198
1274,Manic,2001,629482
1280,Treasure Planet,2002,67958
1284,Revolution OS,2001,546536
1285,Interview with the Assassin,2002,628718
1286,Far from Heaven,2002,77644
1290,The Isle,2000,620791
1291,The Hours,2002,62162
1292,Morvern Callar,2002,627633
1293,Brother,1997,615475
1296,Left Behind II: Tribulation Force,2002,901426
1298,All or Nothing,2002,74170
1307,Berkeley in the Sixties,1990,503420
1308,Punch-Drunk Love,2002,90346
1312,Bloody Sunday,2002,68453
1313,Heaven,2002,71114
1314,Biggie & Tupac,2002,104207
1316,Death of a Salesman,1985,107925
1317,The Wall,2002,547819
1318,Eight Crazy Nights,2002,64172
1320,Equilibrium,2002,71546
1321,Star Trek: Nemesis,2002,64121
1322,Max,2002,622594
1323,Eddie Izzard: Dress to Kill,1999,1109224
1324,Maid in Manhattan,2002,69865
