Show_Type,VU_MO_ID,ROVI_ID
MO,5080,450756
MO,5081,471806
MO,5082,435942
MO,5083,1073069
MO,5084,454483
MO,5085,431436
MO,5086,1072480
MO,5087,1073109
MO,5089,1269727
MO,5091,1289101
MO,5094,1068230
MO,5097,1093270
MO,5098,1128353
MO,5101,1308552
MO,5103,1065808
MO,5104,1074304
MO,5105,459035
MO,5107,425680
MO,5116,1335007
MO,5117,1061064
MO,5118,1054341340
MO,5120,1345662
MO,5121,1345885
MO,5129,1356033
MO,5131,1355129
MO,5135,1324906
MO,5140,423825
MO,5145,422768
MO,5147,1067529
MO,5150,469163
MO,5151,1067530
MO,5152,462672
MO,5153,1374318
MO,5155,1068914
MO,5156,1393785
MO,5157,1404793
MO,5158,424977
MO,5160,1393842
MO,5166,1412541
MO,5167,1022080321
MO,5169,473302
MO,5170,1093903
MO,5171,1073453
MO,5172,470961
MO,5173,1420806
MO,5176,1296605
MO,5188,1449784
MO,5190,995192212
MO,5192,425998
MO,5193,1344860
MO,5194,1467894
MO,5197,1380794
MO,5202,1449830
MO,5205,1402956
MO,5210,1484990
MO,5213,430263
MO,5215,1079184
MO,5216,424908
MO,5217,428659
MO,5219,430271
MO,5220,430386
MO,5222,1056164
MO,5228,1485018
MO,5230,1485062
MO,5232,451186
MO,5233,449472
MO,5234,993374896
MO,5235,458168
MO,5236,995192213
MO,5237,464894
MO,5240,1095602
MO,5242,1233436
MO,5247,1496797
MO,5250,424987
MO,5253,1054322
MO,5254,1078237
MO,5256,437683
MO,5257,456987
MO,5258,1056833
MO,5260,471715
MO,5270,1518176
MO,5273,1516387
MO,5275,1062602
MO,5276,434927
MO,5277,436227
MO,5278,998218021
MO,5280,1518135
MO,5283,1054342756
MO,5287,1055489
MO,5291,425184
MO,5294,1074591
MO,5295,17894346
MO,5298,989232180
MO,5300,1518139
MO,5307,455808
MO,5308,1076569
MO,5309,430981
MO,5310,450796
MO,5314,1068232
MO,5315,423387
MO,5319,1607323
MO,5322,1535596
MO,5323,424953
MO,5324,459329
MO,5325,1079837
MO,5326,1022080332
MO,5327,473459
MO,5328,422668
MO,5329,471449
MO,5335,430707
MO,5340,430949
MO,5345,1548700
MO,5348,460842
MO,5351,425704
MO,5353,447265
MO,5354,1059140
MO,5355,1069797
MO,5356,424488
MO,5363,428662
MO,5366,1070989
MO,5372,1596421
MO,5373,1057748
MO,5376,427085
MO,5377,426982
MO,5389,1085559
MO,5390,426004
MO,5391,1054341659
MO,5394,422618
MO,5395,1076736
MO,5396,452654
MO,5397,471721
MO,5399,1059711
MO,5400,1076213
MO,5405,1607885
MO,5416,990708569
MO,5420,434707
MO,5421,1082528
MO,5423,422656
MO,5424,1088303
MO,5425,988708248
MO,5426,427546
MO,5427,472313
MO,5429,1627944
MO,5430,1609517
MO,5433,990708570
MO,5436,1082772
MO,5437,1759147
MO,5439,426227
MO,5442,473271
MO,5444,1592009
MO,5450,1650166
MO,5451,1212935
MO,5453,1608871
MO,5455,443086
MO,5456,1061037
MO,5457,441624
MO,5462,1612903
MO,5464,1055675
MO,5468,1056010
MO,5469,462749
MO,5473,1056847
MO,5478,424972
MO,5479,423806
MO,5481,1603154
MO,5483,1628386
MO,5485,436484
MO,5490,1678976
MO,5494,17889925
MO,5502,435052
MO,5505,1054526
MO,5506,424976
MO,5508,428993
MO,5509,432299
MO,5511,424947
MO,5512,426837
MO,5513,465376
MO,5514,426816
MO,5515,425244
MO,5516,1054966
MO,5517,432099
MO,5518,471220
