GB_id,GB_Title,GB_ReleaseYear,RoviID,Result
375,High Voltage,1997,473244,Search and Link verification match Passed
376,The Mighty,1998,1100537,Search and Link verification match Passed
379,I Love You I Love You Not,1996,464996,Search and Link verification match Passed
381,Species II,1998,463705,Search and Link verification match Passed
382,Deep Impact,1998,982759615,Search and Link verification match Passed
387,Scream 2,1997,449957,Search and Link verification match Passed
398,Trekkies,1997,1135301,Search and Link verification match Passed
401,Life is Beautiful,1997,1128292,Search and Link verification match Passed
402,Cannibal! The Musical,1993,17633155,Search and Link verification match Passed
413,Primary Colors,1998,451191,Search and Link verification match Passed
414,Mouse Hunt,1997,450060,Search and Link verification match Passed
420,Cop and a Half,1993,448926,Search and Link verification match Passed
422,Clerks,1994,432562,Search and Link verification match Passed
424,The Crow,1994,434236,Search and Link verification match Passed
425,A Fish Called Wanda,1988,455137,Search and Link verification match Passed
426,Gentleman's Agreement,1947,462781,Search and Link verification match Passed
427,Conan the Destroyer,1984,453333,Search and Link verification match Passed
428,The Dentist,1996,422862,Search and Link verification match Passed
432,Flirting with Disaster,1996,422599,Search and Link verification match Passed
445,Double Jeopardy,1999,1162596,Search and Link verification match Passed
449,First Knight,1995,422982,Search and Link verification match Passed
466,Earth Girls Are Easy,1988,435267,Search and Link verification match Passed
489,The Hunted,1995,424969,Search and Link verification match Passed
506,Godzilla's Revenge,1969,423841,Search and Link verification match Passed
512,A League of Their Own,1992,451604,Search and Link verification match Passed
515,The Grifters,1990,424928,Search and Link verification match Passed
519,His Girl Friday,1940,1000549697,Search and Link verification match Failed
531,Children of the Corn,1984,470238,Search and Link verification match Passed
544,Billy Elliot,2000,1289101,Search and Link verification match Passed
546,Songcatcher,2001,1345837,Search and Link verification match Passed
548,Fluke,1995,425489,Search and Link verification match Passed
569,Murder!,1930,1070229,Search and Link verification match Passed
570,The Mouse on the Moon,1963,426271,Search and Link verification match Passed
572,Men of War,1994,424296,Search and Link verification match Passed
581,White Christmas,1954,437150,Search and Link verification match Passed
583,Planes Trains and Automobiles,1987,1066974,Search and Link verification match Passed
585,Talk Radio,1988,424977,Search and Link verification match Passed
586,Bedrooms and Hallways,1998,1180521,Search and Link verification match Passed
587,Stiff Upper Lips,1998,2297330,Search and Link verification match Passed
589,Female Vampire,1973,28367,Search and Link verification match Passed
590,Casper's Haunted Christmas,2000,1230014,Search and Link verification match Passed
591,The Land Before Time VII: Stone of Cold Fire,2000,1264207,Search and Link verification match Passed
598,The Collectors,1999,1272232,Search and Link verification match Passed
601,The Original Kings of Comedy,2000,1269667,Search and Link verification match Passed
603,Rosemary's Baby,1968,429751,Search and Link verification match Passed
611,Slugs,1988,461061,Search and Link verification match Passed
629,Beowulf,1999,1242729,Search and Link verification match Passed
632,Dillinger,1973,430330,Search and Link verification match Passed
643,The Dead Zone,1983,435638,Search and Link verification match Passed
654,The Naked Gun 2 1/2: The Smell of Fear,1991,982878535,Search and Link verification match Passed
655,Naked Gun 33 1/3: The Final Insult,1994,982878479,Search and Link verification match Passed
662,Abbott & Costello Meet Frankenstein,1948,1077211,Search and Link verification match Passed
668,Tales of Terror,1962,462678,Search and Link verification match Passed
699,Clue,1985,982878504,Search and Link verification match Passed
700,Thick as Thieves,1999,1139248,Search and Link verification match Passed
707,You Only Live Twice,1967,1078794,Search and Link verification match Passed
714,East Is East,1999,1245997,Search and Link verification match Passed
721,Scary Movie,2000,1243177,Search and Link verification match Passed
722,Funny Face,1957,470341,Search and Link verification match Passed
724,The War Zone,1999,1247597,Search and Link verification match Passed
729,Diamonds,1999,1217014,Search and Link verification match Passed
733,The Architecture of Doom,1989,4324,Search and Link verification match Failed
736,Committed,2000,1252898,Search and Link verification match Passed
740,Romeo & Juliet,1968,429955,Search and Link verification match Passed
749,Barton Fink,1991,429516,Search and Link verification match Passed
752,Titan A.E.,2000,1231479,Search and Link verification match Passed
754,My Chauffeur,1986,428338,Search and Link verification match Passed
758,Dead Man,1995,422607,Search and Link verification match Passed
763,Man of La Mancha,1972,472713,Search and Link verification match Passed
767,Phaedra,1962,454686,Search and Link verification match Passed
770,Jackie Brown,1997,451171,Search and Link verification match Passed
775,She Done Him Wrong,1933,435973,Search and Link verification match Passed
777,The Hospital,1971,453265,Search and Link verification match Passed
780,Strategic Air Command,1955,1074810,Search and Link verification match Passed
785,King of the Zombies,1941,462703,Search and Link verification match Passed
786,Kiss of the Spider Woman,1985,435116,Search and Link verification match Passed
787,Pieces of Dreams,1970,461176,Search and Link verification match Passed
788,In Which We Serve,1942,454863,Search and Link verification match Passed
789,The Best Little Whorehouse in Texas,1982,1056164,Search and Link verification match Passed
793,Knock on Wood,1954,1060500,Search and Link verification match Passed
795,Roman Holiday,1953,982759606,Search and Link verification match Passed
797,Taras Bulba,1962,1072070,Search and Link verification match Passed
800,The Man Who Shot Liberty Valance,1962,458452,Search and Link verification match Passed
805,Nine to Five,1980,454755,Search and Link verification match Passed
820,Gunfight at the O.K. Corral,1957,1059029,Search and Link verification match Passed
824,Harlem Nights,1989,427694,Search and Link verification match Passed
827,Electra,1962,1086175,Search and Link verification match Passed
828,Panic,2000,1198765,Search and Link verification match Passed
833,Captain Carey U.S.A.,1950,1058365,Search and Link verification match Passed
840,The Wedding Planner,2001,1001757388,Search and Link verification match Passed
848,Fatal Attraction,1987,472283,Search and Link verification match Passed
849,Joe Dirt,2001,1324889,Search and Link verification match Passed
854,Casanova Brown,1944,1056551,Search and Link verification match Passed
860,Come Blow Your Horn,1963,437793,Search and Link verification match Passed
864,Beverly Hills Cop,1984,982878477,Search and Link verification match Passed
867,Crimes of the Heart,1986,470748,Search and Link verification match Passed
871,Beach Red,1967,1054792,Search and Link verification match Passed
873,Ghost,1990,982759637,Search and Link verification match Passed
876,Bus Stop,1956,439746,Search and Link verification match Passed
878,There's No Business Like Show Business,1954,460718,Search and Link verification match Passed
880,A Man Called Peter,1955,436220,Search and Link verification match Passed
882,Girls Just Want to Have Fun,1985,435964,Search and Link verification match Passed
886,Witness for the Prosecution,1957,437766,Search and Link verification match Passed
890,Sabrina,1954,455673,Search and Link verification match Passed
904,The Paper Chase,1973,435641,Search and Link verification match Passed
908,The Nasty Girl,1990,1083922,Search and Link verification match Passed
909,Everybody's Famous,2000,1345777,Search and Link verification match Passed
911,The Naked City,1948,462713,Search and Link verification match Passed
912,Marriage Italian Style,1964,470200,Search and Link verification match Passed
913,Champion,1949,462673,Search and Link verification match Passed
921,Valmont,1989,1075877,Search and Link verification match Passed
926,Two for the Seesaw,1962,1078102,Search and Link verification match Passed
931,Trading Places,1983,451150,Search and Link verification match Passed
932,Love Story,1970,982878510,Search and Link verification match Passed
934,What's Eating Gilbert Grape,1993,437842,Search and Link verification match Passed
935,What's New Pussycat?,1965,430115,Search and Link verification match Passed
936,Cleopatra,1963,1056765,Search and Link verification match Passed
938,Summer Rental,1985,422877,Search and Link verification match Passed
940,Wild in the Streets,1968,1074569,Search and Link verification match Passed
964,Guadalcanal Diary,1943,437015,Search and Link verification match Passed
1126,Hombre,1967,430142,Search and Link verification match Passed
1132,Paid in Full,2002,1525566,Search and Link verification match Passed
1136,The Great Mouse Detective,1986,1078734,Search and Link verification match Passed
1137,Backflash,2002,1628739,Search and Link verification match Passed
1140,Top Secret!,1984,442897,Search and Link verification match Passed
1142,Girls in Prison,1994,990543037,Search and Link verification match Passed
1144,Siberian Lady Macbeth,1962,34610,Search and Link verification match Passed
1146,XXX,2002,1485072,Search and Link verification match Passed
1150,Dahmer,2002,1452572,Search and Link verification match Passed
1159,Bowery at Midnight,1942,456097,Search and Link verification match Passed
1160,Hey Arnold! The Movie,2002,1486758,Search and Link verification match Passed
1161,The Serpent's Kiss,1997,1345670,Search and Link verification match Passed
1165,Ted Bundy,2002,1464987,Search and Link verification match Passed
1167,The Surge,2002,1545967,Search and Link verification match Passed
1170,The Big Knife,1955,1058227,Search and Link verification match Passed
1174,8 Heads in a Duffel Bag,1997,456632,Search and Link verification match Passed
1175,Transylvania 6-5000,1985,1073311,Search and Link verification match Passed
1176,Vamp,1986,436640,Search and Link verification match Passed
1179,The Land Before Time IX: Journey to Big Water,2002,1487078,Search and Link verification match Passed
1181,The Land Before Time II: The Great Valley Adventure,1994,1088170,Search and Link verification match Passed
1184,The Knack...and How to Get It,1965,1066208,Search and Link verification match Passed
1186,The Long Goodbye,1973,1068870,Search and Link verification match Passed
1190,Citizen Toxie: The Toxic Avenger IV,2001,2353784,Search and Link verification match Passed
1197,The Rocking Horse Winner,1949,1067548,Search and Link verification match Passed
1199,Frances,1982,425376,Search and Link verification match Passed
1200,House II: The Second Story,1987,1063982,Search and Link verification match Passed
1201,House,1986,459325,Search and Link verification match Passed
1204,The Mirror Crack'd,1980,1062404,Search and Link verification match Passed
1205,Hopscotch,1980,1094578,Search and Link verification match Passed
1211,Code Unknown,2000,1590087,Search and Link verification match Passed
1214,Hellraiser,1987,41357,Search and Link verification match Passed
1215,Flowers in the Attic,1987,1061977,Search and Link verification match Passed
1216,The Care Bears Movie,1985,1055494,Search and Link verification match Passed
1217,Stormy Monday,1988,437992,Search and Link verification match Passed
1219,Hellraiser VI: Hellseeker,2002,1474745,Search and Link verification match Passed
1221,Things Behind the Sun,2001,1311132,Search and Link verification match Passed
1223,Hercules in the Haunted World,1961,41725,Search and Link verification match Passed
1226,Stealing Harvard,2002,1506310,Search and Link verification match Passed
1228,Borstal Boy,2000,1546126,Search and Link verification match Passed
1232,Baran,2001,1482914,Search and Link verification match Passed
1235,Triumph of the Spirit,1989,467288,Search and Link verification match Passed
1236,Kissing Jessica Stein,2001,1449819,Search and Link verification match Passed
1239,Donnie Darko,2001,1423846,Search and Link verification match Passed
1240,Taps,1981,454772,Search and Link verification match Passed
1242,No Such Thing,2001,1421011,Search and Link verification match Passed
1243,Clockstoppers,2002,1431015,Search and Link verification match Passed
1244,Cinema Paradiso,1988,1075430,Search and Link verification match Passed
1245,The Man from Snowy River,1982,982759700,Search and Link verification match Passed
1248,Soapdish,1991,426695,Search and Link verification match Passed
1252,Monkey Business,1952,449354,Search and Link verification match Passed
1256,The Cat's Meow,2001,1441992,Search and Link verification match Passed
1257,Shaolin Soccer,2001,1658579,Search and Link verification match Passed
1259,Changing Lanes,2002,1441827,Search and Link verification match Passed
1260,Epoch,2001,1342173,Search and Link verification match Passed
1268,Slap Shot,1977,1068914,Search and Link verification match Passed
1270,Slap Shot 2: Breaking the Ice,2002,1404793,Search and Link verification match Passed
1273,Trees Lounge,1996,443529,Search and Link verification match Passed
1274,Manic,2001,1742655,Search and Link verification match Passed
1280,Treasure Planet,2002,1525503,Search and Link verification match Passed
1285,Interview with the Assassin,2002,1708828,Search and Link verification match Passed
1286,Far from Heaven,2002,1518139,Search and Link verification match Passed
1290,The Isle,2000,1495571,Search and Link verification match Passed
1291,The Hours,2002,1544185,Search and Link verification match Passed
1292,Morvern Callar,2002,1673167,Search and Link verification match Passed
1293,Brother,1997,1387537,Search and Link verification match Passed
1296,Left Behind II: Tribulation Force,2002,1632830922,Search and Link verification match Passed
1298,All or Nothing,2002,1498291,Search and Link verification match Passed
1308,Punch-Drunk Love,2002,1544174,Search and Link verification match Passed
1312,Bloody Sunday,2002,1534266,Search and Link verification match Passed
1313,Heaven,2002,1552139,Search and Link verification match Passed
1316,Death of a Salesman,1985,1056269,Search and Link verification match Passed
1317,The Wall,2002,223065,Search and Link verification match Passed
1318,Eight Crazy Nights,2002,1596629,Search and Link verification match Passed
1320,Equilibrium,2002,1536802,Search and Link verification match Passed
1321,Star Trek: Nemesis,2002,1535554,Search and Link verification match Passed
1322,Max,2002,1539210,Search and Link verification match Passed
1324,Maid in Manhattan,2002,1518470,Search and Link verification match Passed
1325,The Wild Thornberrys Movie,2002,1518159,Search and Link verification match Passed
1326,Nicholas Nickleby,2002,1555177,Search and Link verification match Passed
1327,The Pianist,2002,1535630,Search and Link verification match Passed
1328,Female Perversions,1996,462239,Search and Link verification match Passed
1332,Jane Eyre,1996,422622,Search and Link verification match Passed
1334,Citizen Ruth,1996,426805,Search and Link verification match Passed
1336,The Journey of August King,1995,427248,Search and Link verification match Passed
1337,Roadracers,1994,1087257,Search and Link verification match Passed
1338,Ethan Frome,1993,437815,Search and Link verification match Passed
1341,Adaptation.,2002,1535566,Search and Link verification match Passed
1346,Empire of the Ants,1977,432863,Search and Link verification match Passed
1347,A Kiss Before Dying,1956,1060998,Search and Link verification match Passed
1352,Miller's Crossing,1990,472266,Search and Link verification match Passed
1353,Why Didn't They Ask Evans?,1980,1073485,Search and Link verification match Passed
1358,Anger Management,2003,1561058,Search and Link verification match Passed
1362,Daddy Day Care,2003,1569899,Search and Link verification match Passed
1369,Gacy,2003,1539205,Search and Link verification match Passed
1370,Howling 3: The Marsupials,1987,2478437,Search and Link verification match Passed
1371,Beat Street,1984,435455,Search and Link verification match Passed
1374,Heavens Above!,1963,1094686,Search and Link verification match Passed
1375,Full Contact,1992,1536059,Search and Link verification match Passed
1381,Basic,2003,1544187,Search and Link verification match Passed
1382,Mosquito Squadron,1969,460417,Search and Link verification match Passed
1384,Attack!,1956,1054613,Search and Link verification match Passed
1386,Battle of Britain,1969,1054392,Search and Link verification match Passed
1388,633 Squadron,1964,463054,Search and Link verification match Passed
1391,Merci Pour Le Chocolat,2000,1477691,Search and Link verification match Passed
1396,Sex Is Comedy,2002,1747343,Search and Link verification match Passed
1398,Car Wash,1976,1055489,Search and Link verification match Passed
1402,Air Bud Spikes Back,2003,1562786,Search and Link verification match Passed
1405,Hollywood Homicide,2003,1569932,Search and Link verification match Passed
1406,Charlie's Angels: Full Throttle,2003,1565791,Search and Link verification match Passed
1407,Jet Lag,2002,1619708,Search and Link verification match Passed
1413,Casual Sex?,1988,428662,Search and Link verification match Passed
1416,The Water Babies,1978,436799,Search and Link verification match Passed
1417,Cosi,1996,457243,Search and Link verification match Passed
1418,10 to Midnight,1983,436463,Search and Link verification match Passed
1419,Darkness Falls,2003,1524850,Search and Link verification match Passed
1420,God Said Ha!,1998,1132573,Search and Link verification match Passed
1423,A Little Sex,1982,434927,Search and Link verification match Passed
1424,Betrayal,2003,1576894,Search and Link verification match Passed
