GB_id,GB_Title,GB_ReleaseYear,Search,Match,GB_AmazonLink,Amazon_Flag,GB_StarzLink,Starz_Flag,GB_NetflixLink,Netflix_flag,GB_NbcLink,Nbc_flag,GB_CBSLink,CBS_flag,GB_VuduLink,Vudu_flag,GB_ItunesLink,Itunes_flag,Ozone_Ott_flag,RoviID,Result
145373,Dance Hoop Workout,2015,TRUE,FALSE,['B01ATYMUT0'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145381,Happy Thoughts,2015,TRUE,FALSE,['B01GKTHBAQ'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145731,Celtic Myths - Magic and Kings,2012,TRUE,FALSE,['B01AVEXGDC'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145738,Celtic Myths - Sex and Supernature,2012,TRUE,FALSE,['B01L2VSNEK'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145747,The Fall of Womenland,2012,TRUE,FALSE,['B01ASF5AZG'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145751,Traditional Chinese Medicine,2012,TRUE,FALSE,['B01ASFRCXE'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145756,Sense of Danger: How Animals Anticipate Natural Disasters,2012,TRUE,FALSE,['B01AVJ4730'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145769,The Dolphin: Born To Be Wild,2012,TRUE,FALSE,['B01AS8NQ0E'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145928,Traveler,2011,TRUE,FALSE,['B01AUHZGLA'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
146040,Kapha Balancing AM PM Class,2010,TRUE,FALSE,['B017VADJ9A'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
146684,The Happy Heart Flow,1990,TRUE,FALSE,['B017YGOGJS'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
146717,Carpe Diem,1990,TRUE,FALSE,['B017UPSAIG'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
146720,Winds of Change,1990,TRUE,FALSE,['B017UPRZJG'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
146821,SIMON,2016,TRUE,FALSE,"['B01LWBGDVB', 'B01LWBGDVB']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
147108,3-in-1 Total Body Fitness,2008,TRUE,FALSE,['B004A9KQ56'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
147286,Little Mermaid,2016,TRUE,FALSE,"['B01MQCI2PY', 'B01MQCI2PY']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['1198693306'],FALSE,FALSE,,Couldn't Map
147307,DAKOTA,1950,TRUE,FALSE,['B01LYTV2B1'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
147754,Clean,2004,TRUE,FALSE,['B01M99HSKA'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
147762,Trans-Europe Express,1967,TRUE,FALSE,['B01LCUAFZQ'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
147807,Zero Hour,0,TRUE,FALSE,['B01N0KXJ86'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
148156,The Cook,0,TRUE,FALSE,"['B01MUBPXNU', 'B01MUBPXNU']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
148277,ABCs of Death 2.5,2016,TRUE,FALSE,['B01MYX3W3R'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
148297,How to Clean Up a Thrift Store Find,2016,TRUE,FALSE,['B01NAHJKN6'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
149175,Emma,2015,TRUE,FALSE,"['B01LPG8UF4', 'B01LPG8UF4']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
149840,Haunted Hollywood: Horror Express,2017,TRUE,FALSE,['B01N39ET1A'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
149933,You May Now Kill The Bride,2016,TRUE,FALSE,['B01NCUV4OZ'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
149975,Vintage Videozone: Hideous!,2017,TRUE,FALSE,['B06VVXHBWZ'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
150023,Once Upon a Time,0,TRUE,FALSE,['B06X6JLBQ7'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
150108,Full Moon's Monthly Vidcast: February 2017,2017,TRUE,FALSE,['B06VW9WSF1'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
150273,Kara,0,TRUE,FALSE,"['B01N2VPE2H', 'B01N2VPE2H']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
150505,Mathematics for Lovers: Mandelbrot Sets and Julia Sets,1990,TRUE,FALSE,['B06XGSRRRK'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
150641,William Shatner's Full Moon Fright Night: Castle Freak,2002,TRUE,FALSE,"['B076H8RZJC', 'B06WD5QCZH']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
151007,Everything Or Nothing,2007,TRUE,FALSE,['B00KEZ28Q0'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
151265,All of Me,2014,TRUE,FALSE,['B06Y3M5TXD'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['1220293883'],FALSE,FALSE,,Couldn't Map
151307,Heidi,2014,TRUE,FALSE,"['B079SRTTYW', 'B079SRTTYW']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
151332,Beyond The Mountains,2017,TRUE,FALSE,['B071XPM2T2'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
151517,Supernatural Fandom: The Movie,0,TRUE,FALSE,['B07M9T2Q57'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
151662,Full Moon's Monthly Vidcast: April 2017,2017,TRUE,FALSE,['B071KW21V3'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
151776,2500 km,2017,TRUE,FALSE,['B0718ZBY81'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
151811,Jackson,2017,TRUE,FALSE,['B071NJ4C26'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
151893,The Fix,2017,TRUE,FALSE,"['B072F4MNJT', 'B075DHLPNJ']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
152376,Sleeping Beauties,2017,TRUE,FALSE,"['B07M85X5GG', 'B07MCVR9K8']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
152437,The Drifter,2015,TRUE,FALSE,"['B071J81CZ2', 'B072M276LX']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['1240490726'],FALSE,FALSE,,Couldn't Map
152493,Hiawatha,2017,TRUE,FALSE,"['B07DB3H1PL', 'B072M5W9WQ']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['1228947457'],FALSE,FALSE,,Couldn't Map
152539,Remorse,2016,TRUE,FALSE,"['B071YJ6KHT', 'B071YJ6KHT']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
152583,Semyon Bychkov - Semyon Bychkov And Wiener Philharmoniker - Summer Night Concert,2016,TRUE,FALSE,['B06Y4GKS8X'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
153642,State of the Union,0,TRUE,FALSE,"['B01MQQWYY0', 'B01MQQWYY0']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
153740,My Little Pony Equestria Girls: Magical Movie Night,2017,TRUE,FALSE,['B074KS7CY1'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['1248500540'],FALSE,FALSE,,Couldn't Map
154180,Interior,2014,TRUE,FALSE,"['B07FYXG2M2', 'B07FYXG2M2']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['1266532238'],FALSE,FALSE,,Couldn't Map
154391,Faithful Polygamists,2012,TRUE,FALSE,['B01LX1TYFV'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2445,Thomas & Friends: Best of James,2002,TRUE,FALSE,['B005SFZ8HW'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
22008,Truth Prevails: The Undying Faith of Jan Hus,2007,TRUE,FALSE,"['B07Q7Q372T', 'B07Q7Q372T']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
