GB_id,GB_Title,GB_ReleaseYear,Search,Match,GB_AmazonLink,Amazon_Flag,GB_StarzLink,Starz_Flag,GB_NetflixLink,Netflix_flag,GB_NbcLink,Nbc_flag,GB_CBSLink,CBS_flag,GB_VuduLink,Vudu_flag,GB_ItunesLink,Itunes_flag,Ozone_Ott_flag,RoviID,Result
1628,Pretenders: Loose in L.A.,2003,TRUE,FALSE,"['B003OBJU0I','B003OBJU0I']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1698,Bob the Builder: Tool Power!,2003,TRUE,FALSE,['B005SFZ67Y'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1714,The Monkey Hustle,1976,TRUE,FALSE,['B000VI10IC'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1768,Riki-Oh: The Story of Ricky,1991,TRUE,FALSE,['B01M7P307M'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1799,F.E.D.S.,2004,TRUE,FALSE,"['B000RFTCYS','B000RFV138']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1809,Rubbadubbers: Tubb's Pirate Treasure,2004,TRUE,FALSE,['B005SFZ2O6'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1813,Eddie Izzard: Circle,2002,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['334191997'],FALSE,FALSE,,Couldn't Map
1815,Thomas & Friends: Thomas & His Friends Get Along,2004,TRUE,FALSE,['B005SFZH4G'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1833,Nightmares Come at Night,1970,TRUE,FALSE,['B00B99H6YE'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1862,Kedma,2002,TRUE,FALSE,['B005JFT5AC'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1931,Ray Charles: Live at the Montreux Jazz Festival,2002,TRUE,FALSE,['B003OBKYLC'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['399757585'],FALSE,FALSE,,Couldn't Map
1985,Kipper: Cuddly Critters,1997,TRUE,FALSE,['B005SFZZJ8'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
